IDMercado,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
1.215163000,Estonian Esiliiga,2023-06-12,13:00:00,Levadia Tallinn II,Paide Linnameeskond II,1.4,5.3,4.7,1.01,2.5,1.33,3.15,1.01,1.01,1.01,1.01,34.0,23.0,32.0,65.0,23.0,16.0,22.0,46.0,24.0,17.0,23.0,50.0,3.65,26.0
1.214992812,Argentinian Primera Division,2023-06-12,14:00:00,Newells,Union Santa Fe,2.02,3.1,4.5,2.7,1.5,2.3,1.66,8.6,13.0,36.0,150.0,7.0,8.4,24.0,110.0,12.0,13.0,32.0,140.0,29.0,34.0,75.0,280.0,30.0,170.0
1.215162640,Brazilian Campeonato Women,2023-06-12,15:00:00,EC Bahia (W),Corinthians (W),8.8,5.6,1.2,1.3,2.08,1.76,1.83,1.01,1.01,12.5,12.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,3.55
1.215054676,Uruguayan Primera Division,2023-06-12,15:00:00,Danubio,Torque,1.97,3.4,3.95,2.1,1.73,1.94,1.9,12.0,14.5,32.0,95.0,8.8,8.4,18.5,60.0,12.5,11.5,22.0,75.0,26.0,25.0,46.0,140.0,1.01,75.0
1.215162820,Brazilian Campeonato Women,2023-06-12,15:00:00,Real Ariquemes (W),Santos FC (W),6.0,4.5,1.04,1.16,1.67,2.34,1.57,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215162946,Brazilian Campeonato Women,2023-06-12,15:00:00,Ferroviaria (W),AE Kindermann (W),1.32,5.1,8.0,1.49,2.48,1.82,1.97,30.0,40.0,1.01,1.01,12.0,15.0,38.0,1.01,10.5,11.5,28.0,1.01,13.5,15.0,34.0,1.01,5.2,1.01
1.215162460,Brazilian Campeonato Women,2023-06-12,15:00:00,CR Flamengo (W),SC Internacional (W),2.18,2.7,2.96,1.81,1.85,1.67,1.98,1.01,1.01,1.01,1.01,13.0,9.6,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215162550,Brazilian Campeonato Women,2023-06-12,15:00:00,Gremio FBPA (W),Sao Paulo (W),2.6,2.7,2.3,1.8,1.91,1.61,2.04,1.01,1.01,1.01,1.01,1.01,9.6,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215162730,Brazilian Campeonato Women,2023-06-12,15:00:00,Real Brasilia (W),Cruzeiro (W),2.76,1.01,2.28,1.01,1.48,1.54,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215162370,Brazilian Campeonato Women,2023-06-12,15:00:00,Athletico Paranaense (W),Palmeiras (W),1.09,1.09,1.04,1.01,1.05,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.214968338,Argentinian Primera Division,2023-06-12,17:00:00,San Lorenzo,Central Cordoba (SdE),1.84,3.3,5.6,2.72,1.48,2.48,1.59,8.6,14.0,46.0,210.0,6.0,8.8,28.0,140.0,9.8,12.0,38.0,180.0,24.0,32.0,80.0,370.0,26.0,270.0
1.215030738,Uruguayan Primera Division,2023-06-12,18:00:00,Cerro Largo FC,Liverpool Montevideo,3.25,3.2,2.12,1.92,1.84,1.79,1.99,15.0,11.0,15.0,32.0,15.0,9.0,12.5,26.0,28.0,17.0,21.0,44.0,1.01,48.0,1.01,1.01,46.0,19.5
1.215030431,Colombian Primera A,2023-06-12,19:00:00,Ind Medellin,America de Cali S.A,2.06,3.35,3.75,2.06,1.83,1.81,2.04,13.5,15.5,29.0,75.0,9.8,8.2,18.0,55.0,13.5,11.5,19.5,65.0,26.0,25.0,42.0,120.0,17.5,55.0
1.214992661,Argentinian Primera Division,2023-06-12,19:15:00,Banfield,River Plate,5.6,3.6,1.81,2.18,1.75,2.0,1.92,11.5,7.6,10.5,20.0,17.5,8.2,11.0,23.0,44.0,25.0,24.0,55.0,160.0,95.0,110.0,170.0,140.0,15.5
1.215124905,Brazilian Serie C,2023-06-12,20:00:00,Paysandu,Sao Bernardo,2.54,2.84,2.8,2.32,1.5,1.88,1.74,10.5,11.5,23.0,65.0,10.5,7.8,16.5,55.0,19.5,15.5,25.0,1.01,50.0,46.0,80.0,1.01,50.0,60.0
1.215124995,Brazilian Serie C,2023-06-12,20:00:00,Figueirense,Pouso Alegre,1.88,2.88,4.0,2.36,1.49,2.0,1.64,10.5,14.5,38.0,1.01,8.0,8.8,24.0,1.01,12.5,13.5,30.0,1.01,29.0,32.0,70.0,1.01,27.0,1.01
1.215067446,Ecuadorian Serie A,2023-06-12,21:00:00,Emelec,Gualaceo SC,1.36,4.7,8.0,1.66,2.08,1.98,1.79,23.0,34.0,95.0,1.01,9.4,14.0,42.0,1.01,9.8,11.5,36.0,160.0,13.5,18.5,46.0,1.01,7.4,1.01
1.215124352,Brazilian Serie C,2023-06-12,21:30:00,Confianca,Nautico PE,2.2,2.96,3.6,2.46,1.55,2.06,1.78,9.2,12.0,27.0,1.01,8.0,7.6,18.0,1.01,13.5,12.5,24.0,1.01,34.0,34.0,1.01,1.01,32.0,1.01
1.215035756,Colombian Primera A,2023-06-12,21:30:00,Alianza Petrolera,Atletico Nacional Medellin,2.8,3.1,2.52,2.02,1.86,1.77,2.08,14.0,12.5,19.0,42.0,13.0,8.4,14.0,34.0,21.0,14.5,19.5,50.0,48.0,38.0,55.0,120.0,34.0,28.0
1.215003947,Argentinian Primera Division,2023-06-12,21:45:00,Velez Sarsfield,Argentinos Juniors,3.15,2.88,2.58,2.72,1.48,2.16,1.76,8.2,8.2,16.5,44.0,9.6,14.0,14.0,44.0,22.0,16.5,26.0,80.0,70.0,60.0,95.0,240.0,80.0,50.0
1.215003857,Argentinian Primera Division,2023-06-12,21:45:00,Instituto,Racing Club,2.5,3.15,3.3,2.38,1.62,1.97,1.9,10.5,11.0,22.0,60.0,9.2,7.4,15.5,48.0,16.0,13.0,22.0,70.0,38.0,36.0,60.0,160.0,34.0,55.0
