League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under15_HT_Back,Odd_Under15_HT_Lay,Odd_Over15_HT_Back,Odd_Over15_HT_Lay,Odd_Under25_HT_Back,Odd_Under25_HT_Lay,Odd_Over25_HT_Back,Odd_Over25_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_Under35_FT_Back,Odd_Under35_FT_Lay,Odd_Over35_FT_Back,Odd_Over35_FT_Lay,Odd_Under45_FT_Back,Odd_Under45_FT_Lay,Odd_Over45_FT_Back,Odd_Over45_FT_Lay,Odd_Under55_FT_Back,Odd_Under55_FT_Lay,Odd_Over55_FT_Back,Odd_Over55_FT_Lay,Odd_Under65_FT_Back,Odd_Under65_FT_Lay,Odd_Over65_FT_Back,Odd_Over65_FT_Lay,Odd_Under75_FT_Back,Odd_Under75_FT_Lay,Odd_Over75_FT_Back,Odd_Over75_FT_Lay,Odd_Under85_FT_Back,Odd_Under85_FT_Lay,Odd_Over85_FT_Back,Odd_Over85_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_First_Half_Goals_05,IDMercado_First_Half_Goals_15,IDMercado_First_Half_Goals_25,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals,IDMercado_Over/Under_25_Goals,IDMercado_Over/Under_35_Goals,IDMercado_Over/Under_45_Goals,IDMercado_Over/Under_55_Goals,IDMercado_Over/Under_65_Goals,IDMercado_Over/Under_75_Goals,IDMercado_Over/Under_85_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Australian A-League Women,2024-03-09,01:00:00,Canberra United (W),Western Sydney Wanderers (W),2.58,3.55,2.24,2.72,3.7,6.0,3.3,5.0,1.25,1.44,1.59,1.8,2.24,2.7,1.15,1.26,4.9,980.0,1.02,970.0,1.01,1.06,3.0,980.0,1.01,1.5,2.42,3.15,1.46,1.71,1.57,1.79,2.28,2.76,1.24,1.34,4.0,5.7,1.08,1.15,8.0,55.0,1.02,1.09,12.0,55.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.48,1.67,2.5,3.1,3.75,980.0,3.55,980.0,3.65,980.0,3.9,980.0,3.6,980.0,3.25,980.0,3.4,980.0,3.85,980.0,3.75,980.0,3.45,980.0,3.5,980.0,3.85,980.0,4.0,980.0,3.8,980.0,3.9,980.0,4.0,980.0,3.5,980.0,3.35,980.0,4.2,1000.0,33073431,8839009.0,8839006.0,58805.0,1.225633513,1.225633599,1.225633600,1.225633601,1.225633515,1.225633516,1.225633517,1.225633518,1.225633519,1.225633520,1.225633521,1.225633522,1.225633523,1.225633592,1.225633514
Australian A-League Women,2024-03-09,02:00:00,Brisbane Roar FC (W),Central Coast Mariners (W),2.4,3.15,2.52,3.5,2.98,5.4,2.88,4.2,1.35,1.54,1.47,1.64,2.4,3.15,1.12,1.2,6.0,11.0,1.02,970.0,1.01,1.07,3.7,5.6,1.24,1.34,2.02,2.42,1.71,1.97,1.4,1.56,2.6,3.75,1.1,980.0,1.1,11.0,1.03,980.0,1.1,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.6,1.83,2.2,2.66,3.55,980.0,3.4,980.0,3.6,980.0,3.95,980.0,3.35,980.0,3.1,980.0,3.35,980.0,3.75,980.0,3.6,980.0,3.3,980.0,3.55,980.0,3.85,980.0,3.85,980.0,3.75,980.0,3.85,980.0,4.1,1000.0,3.6,980.0,3.65,980.0,4.2,1000.0,33073781,37905964.0,61641026.0,58805.0,1.225633618,1.225633704,1.225633705,1.225633706,1.225633620,1.225633621,1.225633622,1.225633623,1.225633624,1.225633625,1.225633626,1.225633627,1.225633628,1.225633697,1.225633619
Chinese Super League,2024-03-09,04:30:00,Henan Songshan Longmen,Meizhou Hakka,1.61,1.72,5.5,6.2,4.1,4.8,3.1,3.85,1.35,1.48,1.5,1.6,2.56,3.0,1.12,1.18,6.6,8.8,4.2,1000.0,1.04,1.32,4.2,5.0,1.25,1.32,2.08,2.38,1.73,1.92,1.43,1.56,2.78,3.35,1.15,1.22,5.6,10.5,1.05,1.22,2.78,36.0,1.01,1.22,5.6,110.0,1.01,1.22,5.6,1000.0,1.01,1.22,5.6,1000.0,1.8,1.93,2.06,2.24,14.5,19.5,17.0,980.0,6.0,980.0,6.4,980.0,7.8,10.5,8.2,11.0,17.5,980.0,6.2,980.0,8.4,11.5,8.2,11.0,17.0,23.0,6.2,980.0,13.5,18.5,13.5,18.5,5.7,980.0,6.4,980.0,4.0,9.6,6.2,980.0,6.8,1000.0,33076814,50443412.0,11079690.0,58805.0,1.225656413,1.225656416,1.225656418,1.225656411,1.225656417,1.225656427,1.225656423,1.225656369,1.225656424,1.225656421,1.225656419,1.225656409,1.225656410,1.225656412,1.225656422
Australian A-League Men,2024-03-09,05:00:00,Melbourne City,Wellington Phoenix,1.97,1.98,4.0,4.1,4.0,4.1,3.45,4.4,1.29,1.5,1.55,1.63,2.58,2.82,1.12,1.22,5.7,9.0,15.5,21.0,1.05,1.07,4.6,5.8,1.23,1.27,2.32,2.4,1.72,1.76,1.53,1.56,2.8,2.9,1.19,1.23,2.8,9.4,1.06,1.1,4.4,18.0,1.02,1.1,5.5,55.0,1.01,1.04,11.0,970.0,1.01,1.04,11.0,1000.0,1.65,1.71,2.42,2.52,18.0,20.0,17.0,18.5,28.0,32.0,65.0,75.0,11.0,11.5,8.4,9.0,15.0,16.0,38.0,42.0,12.5,13.5,9.6,10.5,15.5,16.5,42.0,46.0,21.0,23.0,17.0,18.0,27.0,29.0,55.0,75.0,9.8,10.5,30.0,34.0,22.0,980.0,33063003,8586946.0,2469649.0,58805.0,1.225573125,1.225573211,1.225573212,1.225573213,1.225573127,1.225573128,1.225573129,1.225573130,1.225573131,1.225573132,1.225573133,1.225573134,1.225573135,1.225573204,1.225573126
Australian A-League Women,2024-03-09,05:00:00,Sydney FC (W),Western United (W),2.2,2.32,3.2,3.5,3.65,4.2,2.76,4.0,1.33,1.57,1.46,1.67,2.5,55.0,1.1,1.18,6.6,980.0,1.02,980.0,1.01,990.0,4.0,4.5,1.29,1.34,2.02,2.18,1.86,1.98,1.4,1.56,2.78,3.5,1.09,980.0,1.1,12.5,1.03,980.0,1.1,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.73,1.84,2.18,2.36,4.0,980.0,4.3,17.5,4.6,980.0,5.0,980.0,3.65,980.0,3.5,980.0,4.2,18.0,4.8,980.0,4.2,18.0,3.9,13.5,4.4,22.0,5.0,980.0,4.7,980.0,4.6,980.0,4.8,980.0,5.2,980.0,4.2,19.5,4.8,980.0,5.4,1000.0,33073736,8839012.0,50440795.0,58805.0,1.225633828,1.225633914,1.225633915,1.225633916,1.225633830,1.225633831,1.225633832,1.225633833,1.225633834,1.225633835,1.225633836,1.225633837,1.225633838,1.225633907,1.225633829
Czech 2 Liga,2024-03-09,06:15:00,MFK Chrudim,Sparta Prague B,2.24,2.34,3.35,3.6,3.35,3.75,3.0,3.45,1.41,1.5,1.43,1.57,2.78,110.0,1.11,1.15,7.6,11.0,3.75,1000.0,1.01,1.1,3.5,4.3,1.31,1.37,1.96,2.08,1.92,2.04,1.37,1.43,3.35,3.7,1.11,1.25,5.0,10.5,1.03,1.09,5.0,36.0,1.01,1.09,5.0,990.0,1.01,1.09,5.0,990.0,1.01,1.09,5.1,1000.0,1.77,1.88,2.14,2.3,5.2,980.0,4.7,980.0,5.5,980.0,6.2,980.0,8.6,11.5,6.8,9.0,4.8,980.0,5.9,980.0,4.8,980.0,4.4,980.0,5.1,980.0,6.4,980.0,5.6,980.0,5.4,980.0,5.9,980.0,6.4,980.0,5.0,980.0,5.8,980.0,6.8,1000.0,33083018,5727460.0,5964774.0,58805.0,1.225759126,1.225759129,1.225759131,1.225759124,1.225759130,1.225759174,1.225759171,1.225759175,1.225759172,1.225759134,1.225759132,1.225759125,1.225759123,1.225759210,1.225759135
Australian A-League Men,2024-03-09,06:15:00,Adelaide United,Melbourne Victory,3.1,3.2,2.32,2.36,3.85,3.95,3.35,5.0,1.25,1.43,1.65,1.75,2.32,2.54,1.18,1.22,5.6,6.6,18.0,26.0,1.04,1.06,5.5,7.4,1.16,1.23,2.64,2.76,1.57,1.61,1.68,1.72,2.4,2.48,1.27,1.31,4.2,4.8,1.1,1.14,4.2,11.0,1.03,1.06,18.0,34.0,1.01,1.02,18.0,970.0,1.01,1.01,18.0,1000.0,1.5,1.55,2.84,3.0,21.0,23.0,15.0,16.0,17.5,19.0,30.0,32.0,18.0,19.5,8.8,9.6,10.5,11.5,19.0,21.0,23.0,26.0,12.5,13.5,13.0,14.0,24.0,27.0,46.0,55.0,25.0,29.0,29.0,32.0,34.0,55.0,15.0,17.5,10.0,11.5,18.5,980.0,33062997,571273.0,1205124.0,58805.0,1.225573020,1.225573106,1.225573107,1.225573108,1.225573022,1.225573023,1.225573024,1.225573025,1.225573026,1.225573027,1.225573028,1.225573029,1.225573030,1.225573099,1.225573021
Czech 2 Liga,2024-03-09,06:15:00,Vyskov,FC Sellier & Bellot Vlasim,1.61,1.76,5.5,6.8,3.85,4.7,3.0,3.75,1.37,1.5,1.43,1.59,2.68,3.35,1.11,1.14,7.2,11.0,3.7,990.0,1.01,1.37,3.7,4.7,1.27,1.37,1.94,2.22,1.82,2.08,1.37,1.49,3.0,3.75,1.12,1.25,5.0,13.5,1.04,1.25,5.0,36.0,1.01,1.25,5.0,1000.0,1.01,1.25,5.0,1000.0,1.01,1.25,5.0,1000.0,1.84,2.16,1.87,2.2,5.2,980.0,5.4,980.0,6.0,980.0,6.6,1000.0,7.0,9.4,8.0,11.0,5.4,980.0,6.4,980.0,7.8,10.5,8.2,980.0,5.4,980.0,6.4,980.0,12.5,980.0,5.1,980.0,5.8,980.0,6.4,1000.0,4.1,10.5,6.4,980.0,6.8,1000.0,33083000,4940266.0,21285670.0,58805.0,1.225759510,1.225759513,1.225759515,1.225759508,1.225759514,1.225759558,1.225759555,1.225759559,1.225759556,1.225759518,1.225759516,1.225759509,1.225759507,1.225759594,1.225759519
Czech 2 Liga,2024-03-09,06:30:00,Prostejov,Sigma Olomouc B,2.3,2.42,2.98,3.2,3.8,4.3,3.35,4.4,1.3,1.43,1.02,1000.0,2.24,1000.0,1.15,1.18,5.3,8.8,2.3,55.0,1.02,1.77,2.3,990.0,1.02,1.77,2.3,2.5,1.67,1.77,1.52,1.73,2.36,2.94,1.08,1.25,5.0,13.5,1.04,1.25,5.0,26.0,1.01,1.25,5.0,1000.0,1.01,1.25,5.0,1000.0,1.01,1.24,5.0,1000.0,1.61,1.7,2.44,2.64,3.6,980.0,11.5,19.5,17.0,980.0,3.95,980.0,3.4,17.0,3.1,11.5,10.0,17.0,4.2,980.0,3.55,21.0,3.3,14.5,3.5,980.0,4.2,980.0,3.8,980.0,3.7,980.0,3.8,980.0,4.0,980.0,3.4,16.5,3.65,980.0,4.2,1000.0,33082980,6607086.0,10079892.0,58805.0,1.225759780,1.225759783,1.225759785,1.225759778,1.225759784,1.225759828,1.225759825,1.225759829,1.225759826,1.225759788,1.225759786,1.225759779,1.225759777,1.225759864,1.225759789
Czech Women's Matches,2024-03-09,06:30:00,Slovan Liberec (W),Slavia Prague (W),1.01,480.0,1.01,870.0,1.11,350.0,1.01,1000.0,1.01,1000.0,1.02,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.28,1000.0,1.01,4.6,1.28,1000.0,1.01,4.6,1.28,1000.0,1.01,4.6,1.05,1000.0,1.01,36.0,1.05,1000.0,1.01,110.0,1.03,1000.0,1.01,110.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.01,1000.0,1.47,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33090723,8975388.0,7151797.0,58805.0,1.225888182,1.225888185,1.225888187,1.225888180,1.225888186,1.225888230,1.225888227,1.225888231,1.225888228,1.225888190,1.225888188,1.225888181,1.225888179,1.225888266,1.225888191
