League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under15_HT_Back,Odd_Under15_HT_Lay,Odd_Over15_HT_Back,Odd_Over15_HT_Lay,Odd_Under25_HT_Back,Odd_Under25_HT_Lay,Odd_Over25_HT_Back,Odd_Over25_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_Under35_FT_Back,Odd_Under35_FT_Lay,Odd_Over35_FT_Back,Odd_Over35_FT_Lay,Odd_Under45_FT_Back,Odd_Under45_FT_Lay,Odd_Over45_FT_Back,Odd_Over45_FT_Lay,Odd_Under55_FT_Back,Odd_Under55_FT_Lay,Odd_Over55_FT_Back,Odd_Over55_FT_Lay,Odd_Under65_FT_Back,Odd_Under65_FT_Lay,Odd_Over65_FT_Back,Odd_Over65_FT_Lay,Odd_Under75_FT_Back,Odd_Under75_FT_Lay,Odd_Over75_FT_Back,Odd_Over75_FT_Lay,Odd_Under85_FT_Back,Odd_Under85_FT_Lay,Odd_Over85_FT_Back,Odd_Over85_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_First_Half_Goals_05,IDMercado_First_Half_Goals_15,IDMercado_First_Half_Goals_25,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals,IDMercado_Over/Under_25_Goals,IDMercado_Over/Under_35_Goals,IDMercado_Over/Under_45_Goals,IDMercado_Over/Under_55_Goals,IDMercado_Over/Under_65_Goals,IDMercado_Over/Under_75_Goals,IDMercado_Over/Under_85_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Mexican Ascenso MX,2024-03-14,00:05:00,Cimarrones de Sonora,Mineros de Zacatecas,2.34,2.9,2.62,3.2,3.4,4.8,2.92,4.3,1.3,1.52,1.47,1.66,2.5,3.35,1.11,1.21,5.9,9.4,4.1,1000.0,1.01,1.12,4.1,5.8,1.21,1.32,2.06,2.48,1.68,1.93,1.42,1.59,2.52,3.4,1.15,1.39,3.55,7.4,1.05,1.39,3.55,26.0,1.01,1.39,3.55,1000.0,1.01,1.39,3.55,1000.0,1.01,1.39,3.55,1000.0,1.59,1.8,2.24,2.7,3.55,980.0,3.4,980.0,3.65,26.0,3.95,55.0,3.35,980.0,3.05,980.0,3.35,980.0,3.8,36.0,3.55,22.0,3.3,980.0,3.5,980.0,3.9,46.0,3.9,44.0,3.75,32.0,3.85,42.0,4.1,1000.0,3.55,21.0,3.65,26.0,4.2,1000.0,33099516,13625724.0,8692849.0,58805.0,1.226042416,1.226042419,1.226042421,1.226042414,1.226042420,1.226042464,1.226042461,1.226042465,1.226042462,1.226042424,1.226042422,1.226042415,1.226042413,1.226042500,1.226042425
Australian A-League Men,2024-03-14,05:00:00,Western United,Melbourne Victory,4.9,5.4,1.68,1.73,4.3,4.8,3.45,4.8,1.26,1.46,1.55,1.75,2.34,2.8,1.15,1.2,6.0,7.8,17.5,26.0,1.04,1.06,4.5,7.0,1.17,1.29,2.36,2.74,1.58,1.73,1.55,1.72,2.38,2.82,1.22,1.31,4.3,5.6,1.08,1.31,4.3,18.0,1.01,1.05,22.0,110.0,1.01,1.02,22.0,970.0,1.01,1.01,22.0,1000.0,1.64,1.79,2.28,2.58,16.5,28.0,8.8,14.5,9.0,15.0,13.0,22.0,17.5,29.0,7.8,11.5,7.6,11.5,11.5,19.5,4.7,55.0,14.5,25.0,13.0,22.0,19.5,34.0,4.8,130.0,4.7,70.0,4.7,65.0,4.7,95.0,4.5,55.0,3.1,8.2,4.9,980.0,33094542,24301731.0,1205124.0,58805.0,1.225989654,1.225989740,1.225989741,1.225989742,1.225989656,1.225989657,1.225989658,1.225989659,1.225989660,1.225989661,1.225989662,1.225989663,1.225989664,1.225989733,1.225989655
Indian Super League,2024-03-14,11:00:00,FC Goa,Bengaluru FC,1.65,1.87,4.8,6.4,3.75,4.8,2.9,3.65,1.38,1.53,1.42,1.57,1.03,1000.0,1.11,1.16,7.2,11.0,3.55,1000.0,1.02,1.1,3.55,55.0,1.29,1.39,1.89,2.18,1.84,2.14,1.34,1.47,3.1,3.95,1.11,1.2,5.0,10.5,1.04,1.2,5.0,36.0,1.01,1.2,6.0,1000.0,1.01,1.08,6.0,1000.0,1.01,1.08,6.2,1000.0,1.81,2.12,1.9,2.24,1.77,980.0,1.41,980.0,1.26,1000.0,1.26,1000.0,3.6,980.0,2.38,980.0,1.26,980.0,1.26,1000.0,2.14,11.5,2.14,980.0,1.26,980.0,1.26,1000.0,1.61,19.5,1.61,20.0,1.26,1000.0,1.26,1000.0,1.26,12.0,1.26,1000.0,1.26,1000.0,33093605,8900343.0,9145866.0,58805.0,1.225921378,1.225921381,1.225921383,1.225921376,1.225921382,1.225921426,1.225921423,1.225921427,1.225921424,1.225921386,1.225921384,1.225921377,1.225921375,1.225921462,1.225921387
Slovenian Premier League,2024-03-14,12:45:00,Koper,NK Celje,1.04,1000.0,1.04,1000.0,1.01,950.0,2.92,3.55,1.39,1.53,1.01,1000.0,2.68,7.2,1.09,1000.0,1.01,12.5,3.1,36.0,1.03,1.47,3.1,4.8,1.27,1.47,1.72,2.24,1.8,2.38,1.16,1.76,2.32,7.4,1.08,1.28,4.5,13.5,1.03,1.32,4.1,110.0,1.01,1.48,3.1,1000.0,1.01,1.28,4.5,1000.0,1.01,1.48,3.1,1000.0,1.7,1000.0,1.84,1000.0,1.34,16.5,1.03,11.0,4.3,1000.0,1.03,28.0,1.03,1000.0,1.03,10.5,1.03,13.0,1.03,1000.0,1.03,1000.0,1.03,22.0,1.03,25.0,1.03,48.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33098115,166903.0,3188553.0,58805.0,1.226004771,1.226004774,1.226004776,1.226004769,1.226004775,1.226004819,1.226004816,1.226004820,1.226004817,1.226004779,1.226004777,1.226004770,1.226004768,1.226004855,1.226004780
UEFA Europa League,2024-03-14,14:45:00,West Ham,Freiburg,1.8,1.81,5.0,5.1,4.0,4.1,3.1,3.6,1.42,1.53,1.45,1.52,2.92,3.2,1.12,1.16,7.6,10.0,12.5,15.5,1.07,1.09,3.9,4.1,1.32,1.34,1.98,2.04,1.97,2.02,1.37,1.41,3.45,3.65,1.14,1.17,7.0,8.2,1.05,1.08,14.0,26.0,1.01,1.05,14.0,110.0,1.01,1.03,24.0,1000.0,1.01,1.02,24.0,1000.0,1.91,1.95,2.04,2.1,13.5,16.5,15.5,19.5,22.0,42.0,40.0,130.0,7.8,9.0,7.8,9.8,17.5,22.0,32.0,75.0,9.4,12.0,9.2,10.5,18.5,23.0,34.0,80.0,16.5,21.0,17.0,19.0,23.0,36.0,44.0,130.0,5.9,11.5,34.0,80.0,9.8,1000.0,33090263,48756.0,44520.0,58805.0,1.225883826,1.225883830,1.225883832,1.225883823,1.225883831,1.225883813,1.225883810,1.225883874,1.225883811,1.225883834,1.225883833,1.225883824,1.225883822,1.225883825,1.225883835
UEFA Europa League,2024-03-14,14:45:00,Slavia Prague,AC Milan,3.2,3.3,2.26,2.28,3.95,4.0,3.35,4.4,1.3,1.51,1.54,1.65,2.54,2.86,1.12,1.21,5.8,9.2,15.5,26.0,1.05,1.06,4.8,5.2,1.24,1.27,2.3,2.34,1.75,1.76,1.51,1.55,2.84,2.98,1.2,1.26,4.9,6.4,1.07,1.1,10.5,15.5,1.02,1.05,24.0,55.0,1.01,1.02,60.0,1000.0,1.01,1.01,200.0,1000.0,1.65,1.69,2.46,2.54,17.0,23.0,11.0,14.0,14.0,20.0,19.0,38.0,13.5,19.0,8.2,9.8,9.6,12.5,18.5,27.0,21.0,30.0,12.5,17.0,14.5,21.0,20.0,40.0,28.0,65.0,21.0,40.0,23.0,48.0,32.0,95.0,4.1,30.0,3.75,17.0,4.7,980.0,33090241,10777.0,127991.0,58805.0,1.225884066,1.225884070,1.225884072,1.225884063,1.225884071,1.225884053,1.225884050,1.225884114,1.225884051,1.225884074,1.225884073,1.225884064,1.225884062,1.225884065,1.225884075
UEFA Europa League,2024-03-14,14:45:00,Rangers,Benfica,2.98,3.0,2.46,2.48,3.75,3.8,3.5,4.2,1.32,1.44,1.56,1.65,2.54,2.76,1.14,1.2,6.0,8.0,17.5,21.0,1.05,1.06,4.5,5.6,1.22,1.28,2.3,2.38,1.73,1.77,1.52,1.56,2.8,2.98,1.19,1.22,5.5,6.6,1.08,1.09,12.5,13.5,1.02,1.04,26.0,55.0,1.01,1.02,75.0,1000.0,1.01,1.01,220.0,1000.0,1.63,1.67,2.5,2.58,16.5,21.0,12.0,15.5,16.5,19.5,22.0,38.0,14.5,17.5,8.0,9.0,10.5,12.0,20.0,26.0,19.5,24.0,12.0,15.0,13.5,17.0,21.0,36.0,25.0,55.0,20.0,32.0,25.0,40.0,32.0,75.0,6.2,23.0,5.7,16.5,8.6,980.0,33090239,52458346.0,48783.0,58805.0,1.225884186,1.225884190,1.225884192,1.225884183,1.225884191,1.225884173,1.225884170,1.225884234,1.225884171,1.225884194,1.225884193,1.225884184,1.225884182,1.225884185,1.225884195
UEFA Europa League,2024-03-14,14:45:00,Villarreal,Marseille,2.32,2.36,3.0,3.05,4.1,4.2,3.6,4.6,1.28,1.38,1.65,1.75,2.34,2.54,1.17,1.24,5.2,6.8,18.0,36.0,1.03,1.06,5.4,7.4,1.17,1.23,2.6,2.76,1.57,1.62,1.64,1.72,2.38,2.6,1.27,1.33,4.1,4.9,1.11,1.14,8.0,11.0,1.04,1.07,15.5,26.0,1.01,1.04,27.0,110.0,1.01,1.04,27.0,1000.0,1.51,1.57,2.76,2.98,18.5,29.0,16.5,21.0,17.0,28.0,27.0,55.0,14.0,18.0,9.0,10.5,12.0,15.0,18.5,30.0,17.0,21.0,10.0,13.0,13.5,17.0,20.0,36.0,20.0,36.0,18.0,23.0,18.0,30.0,27.0,65.0,4.4,11.5,5.1,18.5,7.0,980.0,33090242,28191.0,52457652.0,58805.0,1.225883946,1.225883950,1.225883952,1.225883943,1.225883951,1.225883933,1.225883930,1.225883994,1.225883931,1.225883954,1.225883953,1.225883944,1.225883942,1.225883945,1.225883955
UEFA Europa League,2024-03-14,17:00:00,Liverpool,Sparta Prague,1.34,1.35,9.6,9.8,6.4,6.6,4.1,5.4,1.23,1.32,1.87,2.0,2.0,2.16,1.22,1.3,4.3,5.6,29.0,55.0,1.02,1.04,7.2,9.4,1.13,1.16,3.25,3.35,1.42,1.45,1.92,1.97,2.04,2.1,1.4,1.43,3.35,3.6,1.17,1.2,5.8,7.0,1.07,1.09,12.5,15.0,1.02,1.04,28.0,50.0,1.01,1.02,70.0,130.0,1.76,1.8,2.26,2.32,23.0,40.0,25.0,50.0,36.0,110.0,12.0,980.0,13.0,15.5,14.5,17.5,21.0,38.0,40.0,120.0,10.0,12.0,10.5,12.5,22.0,27.0,38.0,95.0,11.0,13.5,11.5,12.5,23.0,32.0,40.0,100.0,3.45,3.7,11.0,100.0,11.5,980.0,33090415,56323.0,110475.0,58805.0,1.225884306,1.225884310,1.225884312,1.225884303,1.225884311,1.225884293,1.225884290,1.225884354,1.225884291,1.225884314,1.225884313,1.225884304,1.225884302,1.225884305,1.225884315
UEFA Europa League,2024-03-14,17:00:00,Atalanta,Sporting Lisbon,2.0,2.02,4.0,4.1,3.9,4.0,3.1,4.3,1.31,1.53,1.5,1.63,2.6,3.0,1.13,1.2,6.0,9.6,14.0,21.0,1.05,1.08,4.3,5.0,1.25,1.31,2.16,2.38,1.73,1.87,1.47,1.54,2.86,3.2,1.18,1.23,5.4,7.0,1.07,1.09,11.5,18.0,1.02,1.04,27.0,55.0,1.01,1.02,75.0,1000.0,1.01,1.01,230.0,1000.0,1.7,1.75,2.34,2.44,15.5,22.0,14.0,21.0,19.0,38.0,32.0,95.0,10.0,12.5,8.2,8.8,13.5,19.5,24.0,55.0,11.0,16.5,9.4,11.5,14.5,22.0,27.0,60.0,18.5,29.0,15.5,24.0,20.0,40.0,5.0,110.0,3.75,13.0,4.7,48.0,5.2,980.0,33088336,215817.0,52495073.0,58805.0,1.225853680,1.225853684,1.225853686,1.225853677,1.225853685,1.225853667,1.225853664,1.225853728,1.225853665,1.225853688,1.225853687,1.225853678,1.225853676,1.225853679,1.225853689
UEFA Europa League,2024-03-14,17:00:00,Brighton,Roma,1.85,1.86,4.3,4.4,4.3,4.4,3.55,4.6,1.27,1.48,1.48,1.67,2.22,2.72,1.13,1.23,5.3,8.4,18.0,26.0,1.04,1.06,4.7,6.0,1.21,1.27,2.42,2.5,1.68,1.71,1.55,1.6,2.68,2.86,1.21,1.25,5.0,6.0,1.08,1.1,11.0,15.5,1.02,1.05,25.0,55.0,1.01,1.02,65.0,1000.0,1.01,1.01,190.0,1000.0,1.68,1.72,2.4,2.46,19.0,25.0,17.5,24.0,21.0,42.0,36.0,100.0,10.5,12.0,9.2,10.0,15.0,21.0,25.0,55.0,11.5,13.0,9.6,10.5,16.5,22.0,26.0,60.0,18.0,24.0,15.5,21.0,19.5,36.0,6.2,95.0,3.95,9.6,5.9,46.0,6.8,980.0,33090191,18567.0,56967.0,58805.0,1.225884426,1.225884430,1.225884432,1.225884423,1.225884431,1.225884413,1.225884410,1.225884474,1.225884411,1.225884434,1.225884433,1.225884424,1.225884422,1.225884425,1.225884435
