IDMercado,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
1.215815185,South Korean K League 1,2023-07-12,07:00:00,Ulsan Hyundai Horang-i,Incheon Utd,1.61,4.3,5.9,1.84,2.04,1.9,1.98,17.5,22.0,50.0,160.0,9.2,10.5,25.0,180.0,10.5,10.5,23.0,85.0,16.0,18.0,34.0,130.0,9.2,100.0
1.215815365,South Korean K League 1,2023-07-12,07:30:00,Daejeon Citizen,Jeonbuk Motors,3.6,3.65,2.08,1.83,2.02,1.75,2.2,16.0,11.5,15.0,29.0,16.5,8.8,12.0,25.0,30.0,17.0,20.0,40.0,80.0,48.0,60.0,1.01,46.0,16.5
1.215815275,South Korean K League 1,2023-07-12,07:30:00,FC Seoul,Suwon FC,1.57,4.5,5.9,1.69,2.2,1.86,2.06,19.5,26.0,55.0,180.0,9.8,11.0,26.0,85.0,10.5,10.5,22.0,85.0,15.5,17.0,36.0,120.0,8.6,90.0
1.215815095,South Korean K League 1,2023-07-12,07:30:00,Suwon Bluewings,Pohang Steelers,4.4,3.45,1.94,2.08,1.78,1.98,1.92,13.0,8.8,1.01,24.0,16.0,8.8,11.5,25.0,36.0,21.0,24.0,48.0,110.0,1.01,90.0,170.0,90.0,18.0
1.215908740,Chinese Super League,2023-07-12,08:35:00,Nantong Zhiyun F.C,Dalian Yifang,2.2,3.25,3.6,2.26,1.66,1.88,1.93,12.5,13.5,28.0,85.0,9.6,8.0,18.5,60.0,15.5,13.5,25.0,85.0,34.0,34.0,60.0,180.0,28.0,75.0
1.215908848,Chinese Super League,2023-07-12,08:35:00,Qingdao Jonoon,Shenzhen FC,1.36,5.9,9.6,1.81,2.12,2.22,1.73,1.01,32.0,1.01,430.0,8.4,13.5,1.01,190.0,8.4,10.5,38.0,170.0,11.0,16.0,46.0,1.01,6.2,290.0
1.215908956,Chinese Super League,2023-07-12,08:35:00,Shanghai Port FC,Wuhan Three Towns,2.02,3.7,3.85,1.86,2.04,1.74,2.18,18.0,19.5,36.0,95.0,12.5,10.0,19.0,55.0,15.5,12.5,21.0,65.0,27.0,23.0,40.0,110.0,15.0,55.0
1.215909064,Chinese Super League,2023-07-12,08:35:00,Changchun Yatai,Zhejiang Greentown,2.34,3.7,3.0,1.74,2.22,1.61,2.42,20.0,18.0,28.0,60.0,16.5,9.0,16.0,36.0,21.0,12.5,17.0,44.0,36.0,27.0,38.0,75.0,17.5,28.0
1.215909172,Chinese Super League,2023-07-12,08:35:00,Meizhou Hakka,Beijing Guoan,3.7,3.8,2.02,1.79,2.16,1.65,2.3,18.5,12.0,15.0,26.0,18.0,9.6,11.0,20.0,32.0,16.5,18.0,34.0,75.0,42.0,48.0,85.0,38.0,12.0
1.215898730,Finnish Veikkausliiga,2023-07-12,12:00:00,FC Inter,VPS,2.02,3.8,3.9,1.91,2.04,1.8,2.12,14.5,16.0,30.0,85.0,10.0,8.6,17.0,55.0,13.0,11.0,19.5,60.0,25.0,22.0,38.0,110.0,15.0,50.0
