ID_Evento,IDMercado,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
32894200,1.222850334,Bangladesh Matches,2023-12-26,05:30:00,Rahmatganj MFS,Bangladesh Police,3.25,3.7,1.51,1.4,1.7,1.01,1.01,55.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32894202,1.222850244,Bangladesh Matches,2023-12-26,05:30:00,Fortis FC Limited,Bashundhara Kings,5.5,4.5,1.22,1.2,1.75,1.01,1.01,990.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32894264,1.222848787,Azerbaijan 1st Division,2023-12-26,06:00:00,Qaradag Lokbatan,Agsu,1.09,5.0,5.0,1.2,2.66,1.01,1.01,990.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32894255,1.222849151,Azerbaijan 1st Division,2023-12-26,07:00:00,Shamakhi FK,Moik Baku,1.34,3.2,1.46,1.55,1.55,1.01,1.01,50.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32894263,1.222847484,Vietnamese V-League,2023-12-26,08:00:00,Sanna Khanh Hoa,Song Lam Nghe An,2.8,3.2,2.5,2.04,1.7,1.79,1.93,990.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,1.01,980.0,980.0
32892987,1.222827434,Italian Serie B,2023-12-26,08:30:00,Reggiana,Catanzaro,2.88,3.1,2.7,2.22,1.65,1.9,1.93,11.0,10.0,19.0,50.0,11.0,7.4,14.5,40.0,20.0,15.0,23.0,65.0,55.0,42.0,65.0,980.0,42.0,40.0
32894188,1.222850151,Saudi 1st Division,2023-12-26,09:00:00,Al-Adalh,Al-Ain,1.7,3.25,4.1,1.86,1.75,1.74,1.99,980.0,980.0,980.0,1.01,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,1.01,980.0,980.0
32896234,1.222888554,Vietnamese V-League,2023-12-26,09:15:00,Cong An Nhan Dan,Binh Duong,1.71,3.35,4.4,2.0,1.72,1.83,1.78,990.0,980.0,980.0,1.01,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,1.01,980.0,980.0
32894267,1.222847303,Vietnamese V-League,2023-12-26,09:15:00,Ho Chi Minh City,Hong Linh Ha Tinh,1.98,3.4,4.0,2.16,1.81,1.96,1.92,990.0,980.0,980.0,1.01,980.0,980.0,980.0,980.0,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,980.0,1.01
32883790,1.222662072,English Championship,2023-12-26,09:30:00,Preston,Leeds,6.2,4.4,1.62,1.82,2.14,1.87,2.04,16.5,9.0,9.6,15.0,22.0,9.4,9.6,16.0,48.0,22.0,21.0,34.0,170.0,80.0,80.0,140.0,90.0,8.6
