League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under15_HT_Back,Odd_Under15_HT_Lay,Odd_Over15_HT_Back,Odd_Over15_HT_Lay,Odd_Under25_HT_Back,Odd_Under25_HT_Lay,Odd_Over25_HT_Back,Odd_Over25_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_Under35_FT_Back,Odd_Under35_FT_Lay,Odd_Over35_FT_Back,Odd_Over35_FT_Lay,Odd_Under45_FT_Back,Odd_Under45_FT_Lay,Odd_Over45_FT_Back,Odd_Over45_FT_Lay,Odd_Under55_FT_Back,Odd_Under55_FT_Lay,Odd_Over55_FT_Back,Odd_Over55_FT_Lay,Odd_Under65_FT_Back,Odd_Under65_FT_Lay,Odd_Over65_FT_Back,Odd_Over65_FT_Lay,Odd_Under75_FT_Back,Odd_Under75_FT_Lay,Odd_Over75_FT_Back,Odd_Over75_FT_Lay,Odd_Under85_FT_Back,Odd_Under85_FT_Lay,Odd_Over85_FT_Back,Odd_Over85_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_First_Half_Goals_05,IDMercado_First_Half_Goals_15,IDMercado_First_Half_Goals_25,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals,IDMercado_Over/Under_25_Goals,IDMercado_Over/Under_35_Goals,IDMercado_Over/Under_45_Goals,IDMercado_Over/Under_55_Goals,IDMercado_Over/Under_65_Goals,IDMercado_Over/Under_75_Goals,IDMercado_Over/Under_85_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Australian A-League Women,2024-03-17,00:00:00,Wellington (W),Sydney FC (W),6.0,7.4,1.56,1.61,4.3,4.9,3.0,4.5,1.28,1.49,1.54,1.79,2.28,55.0,1.12,1.22,5.5,980.0,1.02,980.0,1.01,1.06,3.8,9.0,1.12,1.36,2.28,2.48,1.68,1.78,1.51,1.58,2.72,2.98,1.11,1.52,2.96,9.4,1.03,1000.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.82,1.91,2.1,2.22,14.0,24.0,3.85,980.0,3.85,980.0,4.5,18.5,17.5,980.0,3.9,980.0,3.85,980.0,11.5,19.0,5.5,980.0,17.5,980.0,4.9,980.0,5.2,980.0,5.9,980.0,5.7,980.0,5.7,980.0,5.8,980.0,5.7,980.0,3.55,8.6,6.0,1000.0,33097253,50888000.0,8839012.0,58805.0,1.225989444,1.225989530,1.225989531,1.225989532,1.225989446,1.225989447,1.225989448,1.225989449,1.225989450,1.225989451,1.225989452,1.225989453,1.225989454,1.225989523,1.225989445
Australian A-League Women,2024-03-17,00:00:00,Melbourne Victory (W),Melbourne City (W),2.14,2.74,2.56,3.9,3.2,290.0,3.6,980.0,1.28,1.38,1.6,1.82,2.22,2.68,1.17,1.24,5.2,980.0,1.02,980.0,1.01,1.06,1.1,980.0,1.01,990.0,2.44,2.98,1.5,1.68,1.6,1.76,2.28,2.72,1.24,1.34,3.9,5.2,1.03,1000.0,1.01,980.0,1.02,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.48,1.66,2.52,3.1,1.23,980.0,1.41,980.0,1.23,980.0,1.04,1000.0,1.34,980.0,2.54,980.0,1.41,980.0,1.23,980.0,1.27,980.0,1.7,980.0,1.27,980.0,1.04,980.0,1.03,980.0,1.27,980.0,1.04,980.0,1.04,1000.0,1.04,980.0,1.04,980.0,1.04,1000.0,33097379,8839001.0,10475264.0,58805.0,1.225996589,1.225996675,1.225996676,1.225996677,1.225996591,1.225996592,1.225996593,1.225996594,1.225996595,1.225996596,1.225996597,1.225996598,1.225996599,1.225996668,1.225996590
Mexican Liga MX,2024-03-17,00:05:00,Guadalajara,CF America,3.45,3.95,2.18,2.28,3.35,3.75,3.05,3.3,1.44,1.49,1.02,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,2.88,18.0,1.06,1.53,1.84,18.0,1.06,2.2,1.84,1.94,2.06,2.2,1.25,1.72,2.4,5.0,1.1,1.17,7.0,13.5,1.03,1.17,7.0,55.0,1.01,1.17,7.0,990.0,1.01,1.17,7.2,1000.0,1.01,1.16,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33096918,230909.0,328952.0,58805.0,1.225985467,1.225985470,1.225985472,1.225985465,1.225985471,1.225985515,1.225985512,1.225985516,1.225985513,1.225985475,1.225985473,1.225985466,1.225985464,1.225985551,1.225985476
Australian A-League Women,2024-03-17,01:00:00,Central Coast (W),Canberra United (W),1.45,1.58,1.25,980.0,1.31,280.0,3.65,980.0,1.27,1.38,1.64,1.84,2.2,36.0,1.17,1.25,5.1,980.0,1.02,980.0,1.01,1.06,1.1,980.0,1.01,990.0,1.27,3.0,1.5,1.61,1.6,1.81,2.22,2.66,1.25,1.35,1.1,55.0,1.03,1000.0,1.01,980.0,1.02,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.69,1.8,1.11,10.0,1.14,980.0,1.1,980.0,1.05,1000.0,1.04,1000.0,1.44,980.0,1.44,980.0,1.14,980.0,1.05,1000.0,1.64,980.0,1.88,980.0,1.19,980.0,1.05,1000.0,1.31,980.0,1.31,980.0,1.14,980.0,1.04,1000.0,1.44,980.0,1.05,1000.0,1.04,1000.0,33097545,61641026.0,8839009.0,58805.0,1.225996483,1.225996569,1.225996570,1.225996571,1.225996485,1.225996486,1.225996487,1.225996488,1.225996489,1.225996490,1.225996491,1.225996492,1.225996493,1.225996562,1.225996484
Japanese J League 3,2024-03-17,01:00:00,Vanraure Hachinohe,Toyama,1.01,500.0,1.01,870.0,1.2,350.0,1.01,1000.0,1.01,1000.0,1.02,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,2.32,990.0,1.05,1.75,1.15,990.0,1.05,50.0,1.15,2.38,1.73,18.0,1.06,21.0,1.05,26.0,1.05,2.38,1.73,55.0,1.02,21.0,1.05,110.0,1.01,21.0,1.05,1000.0,1.01,21.0,1.32,1000.0,1.01,4.2,1.32,1000.0,1.01,1000.0,1.01,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33112557,7632116.0,4296466.0,58805.0,1.226216807,1.226216810,1.226216812,1.226216805,1.226216811,1.226216855,1.226216852,1.226216856,1.226216853,1.226216815,1.226216813,1.226216806,1.226216804,1.226216891,1.226216816
Japanese Football League,2024-03-17,01:00:00,Tokyo Musashino City,Honda Lock,1.01,1000.0,1.01,1000.0,1.01,1000.0,2.88,3.45,1.41,1.54,1.02,1000.0,1.01,1000.0,1.08,1.12,9.6,13.5,1.15,1000.0,1.06,1.12,1.15,1000.0,1.06,55.0,1.15,1000.0,1.06,15.5,1.08,110.0,1.06,21.0,1.05,1.25,5.0,36.0,1.02,1.08,5.0,110.0,1.01,1.08,5.0,1000.0,1.01,1.08,5.0,1000.0,1.01,1.08,5.1,1000.0,1.01,1000.0,1.01,1000.0,1.41,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33113599,10915119.0,4271904.0,58805.0,1.226229680,1.226229683,1.226229685,1.226229678,1.226229684,1.226229728,1.226229725,1.226229729,1.226229726,1.226229688,1.226229686,1.226229679,1.226229677,1.226229764,1.226229689
Japanese Football League,2024-03-17,01:00:00,Veertien Kuwana,Criacao Shinjuku,1.01,1000.0,1.01,1000.0,1.01,1000.0,2.88,3.4,1.42,1.54,1.02,1000.0,1.01,1000.0,1.08,1.12,9.6,13.5,1.15,1000.0,1.06,1.12,1.15,1000.0,1.06,55.0,1.15,1000.0,1.06,15.5,1.08,110.0,1.06,21.0,1.05,1.25,5.0,55.0,1.02,1.08,5.0,110.0,1.01,1.08,5.0,1000.0,1.01,1.08,5.0,1000.0,1.01,1.08,5.0,1000.0,1.01,1000.0,1.01,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33113597,12638006.0,41820815.0,58805.0,1.226229860,1.226229863,1.226229865,1.226229858,1.226229864,1.226229908,1.226229905,1.226229909,1.226229906,1.226229868,1.226229866,1.226229859,1.226229857,1.226229944,1.226229869
Japanese Football League,2024-03-17,01:00:00,Sony Sendai FC,Verspah Oita,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.02,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.15,1000.0,1.01,55.0,1.15,1000.0,1.01,55.0,1.15,1000.0,1.01,15.5,1.08,1000.0,1.01,21.0,1.05,1000.0,1.01,55.0,1.02,1000.0,1.01,110.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.45,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33113598,5852913.0,9391078.0,58805.0,1.226229770,1.226229773,1.226229775,1.226229768,1.226229774,1.226229818,1.226229815,1.226229819,1.226229816,1.226229778,1.226229776,1.226229769,1.226229767,1.226229854,1.226229779
Japanese J League 2,2024-03-17,01:00:00,Kumamoto,Iwaki SC,1.04,500.0,1.04,870.0,1.2,350.0,2.94,1000.0,1.38,1000.0,1.42,1.53,2.54,3.65,1.01,1000.0,1.01,1000.0,1.08,1000.0,1.03,1.12,1.08,1000.0,1.03,13.5,1.08,990.0,1.03,13.5,1.08,110.0,1.03,13.5,1.08,1.2,6.2,13.5,1.03,1.2,6.2,55.0,1.01,1.2,6.2,1000.0,1.01,1.19,6.2,1000.0,1.01,1.18,6.2,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33113208,5021204.0,13432059.0,58805.0,1.226220675,1.226220678,1.226220680,1.226220673,1.226220679,1.226220723,1.226220720,1.226220724,1.226220721,1.226220683,1.226220681,1.226220674,1.226220672,1.226220759,1.226220684
Japanese J League 2,2024-03-17,01:15:00,Renofa Yamaguchi,Nagasaki,3.4,3.65,2.24,2.32,3.4,3.7,2.9,1000.0,1.01,1000.0,1.02,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.28,1000.0,1.03,1.12,2.48,980.0,1.03,1.67,1.31,36.0,1.33,4.3,1.09,110.0,1.33,12.5,1.1,1.17,1.33,13.5,1.03,1.17,1.01,55.0,1.01,4.1,1.33,1000.0,1.01,1.17,2.02,1000.0,1.01,1.17,3.45,1000.0,1.1,980.0,1.1,980.0,1.1,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,980.0,1.1,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,33097059,4233875.0,7081211.0,58805.0,1.225987581,1.225987584,1.225987586,1.225987579,1.225987585,1.225987629,1.225987626,1.225987630,1.225987627,1.225987589,1.225987587,1.225987580,1.225987578,1.225987665,1.225987590
