League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Chile Primera División,2023-05-09 21:30:00,13,Colo-Colo,Audax Italiano,1.66,3.75,4.4,1.02,15.0,1.22,4.2,1.7,2.1,1.33,3.25,1.73,2.0,1.21,1.22,2.1,1.83,0.83,1.84,1.46,3.3,1.41,9.0,3.48,1.27,1.48,1.85,2.37,3.2
South Korea K League 1,2023-05-10 07:30:00,12,Jeju United,Incheon United,2.09,3.1,3.47,1.08,7.0,1.36,2.95,2.1,1.65,1.46,2.55,1.87,1.87,1.25,1.25,1.68,0.8,1.2,1.79,1.34,3.13,1.55,8.0,2.92,1.32,1.7,2.08,2.5,3.64
South Korea K League 1,2023-05-10 07:30:00,12,Suwon Bluewings,Jeonbuk Motors,3.05,3.23,2.21,1.07,7.5,1.33,3.1,2.0,1.72,1.41,2.7,1.78,1.95,1.5,1.25,1.3,0.2,0.8,1.54,1.47,3.01,1.95,7.5,2.1,1.33,1.68,2.05,2.72,3.74
South Korea K League 1,2023-05-10 07:30:00,12,Daejeon Citizen,Suwon,2.11,3.35,3.15,1.05,9.0,1.25,3.6,1.8,1.9,1.36,3.0,1.66,2.15,1.28,1.25,1.68,2.0,0.5,1.42,1.26,2.68,1.51,8.0,3.17,1.31,1.64,2.04,2.65,3.64
Japan J1 League,2023-05-10 07:30:00,10,Urawa Reds,Sagan Tosu,1.78,3.6,4.3,1.07,7.5,1.36,3.0,1.8,1.9,1.43,2.6,1.95,1.73,1.2,1.29,1.99,3.0,0.8,1.29,0.98,2.27,1.57,8.0,2.75,1.33,1.7,2.1,2.72,3.74
China Chinese Super League,2023-05-10 08:35:00,6,Shanghai SIPG,Qingdao Jonoon,1.36,4.93,8.25,1.02,17.0,1.2,4.2,1.72,2.14,1.3,3.4,1.95,1.8,1.03,1.12,3.2,2.0,0.33,1.61,1.5,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China Chinese Super League,2023-05-10 08:35:00,6,Changchun Yatai,Meizhou Hakka,1.84,3.65,4.13,1.06,8.0,1.33,3.25,1.98,1.83,1.4,2.75,1.8,1.95,1.22,1.29,1.91,2.0,1.0,1.37,0.95,2.32,1.72,8.7,2.52,1.32,1.6,2.05,2.69,3.64
China Chinese Super League,2023-05-10 08:35:00,6,Nantong Zhiyun,Hangzhou,2.97,3.47,2.3,1.05,10.0,1.33,3.15,1.95,1.86,1.44,2.63,1.8,1.95,1.71,1.35,1.29,1.5,0.33,2.21,1.13,3.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China Chinese Super League,2023-05-10 08:35:00,6,Beijing Guoan,Tianjin Teda,2.16,3.4,3.32,1.03,8.0,1.29,3.2,2.09,1.75,1.44,2.63,1.8,1.95,1.29,1.33,1.71,1.0,2.0,1.29,1.01,2.3,1.49,9.1,3.2,1.39,1.71,2.17,2.91,4.1
China Chinese Super League,2023-05-10 08:35:00,21,Chengdu Better City FC,Shandong Luneng,2.85,3.1,2.35,1.04,7.6,1.3,3.14,2.03,1.8,1.39,2.7,1.68,2.05,1.55,1.35,1.39,3.0,0.33,1.82,2.01,3.83,2.33,8.5,1.83,1.38,1.7,2.16,2.88,4.1
Bolivia LFPB,2023-05-10 16:00:00,3,Vaca Díez,Club Always Ready,5.24,4.45,1.44,1.01,21.0,1.11,5.2,1.41,2.61,1.24,3.8,1.55,2.38,2.16,1.15,1.12,2.25,1.75,1.87,1.27,3.14,3.56,9.0,1.41,1.2,1.39,1.7,2.14,2.79
Chile Primera B,2023-05-10 16:30:00,11,Santiago Wanderers,San Marcos,1.89,3.17,3.77,1.05,7.3,1.38,2.71,2.22,1.59,1.47,2.5,1.97,1.8,1.22,1.29,1.77,1.83,0.4,1.74,1.43,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peru Primera División,2023-05-10 17:30:00,7,Cienciano,Alianza Atlético,1.4,4.2,7.5,1.03,15.5,1.2,4.03,1.77,1.97,1.32,3.15,1.82,1.88,1.11,1.17,2.6,2.2,0.83,1.37,1.5,2.87,0.0,0.0,0.0,0.0,0.0,0.0,1.87,0.0
