League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
South Korea K League 2,2023-08-30,07:00:00,29,Seoul E-Land,Jeonnam Dragons,2.85,3.53,2.51,1.05,11.0,1.3,3.15,2.0,1.88,1.42,2.65,1.78,1.95,1.5,1.28,1.45,1.0,1.0,1.28,1.53,2.81,1.99,7.8,2.05,1.5,1.85,2.38,3.34,5.2
South Korea K League 2,2023-08-30,07:30:00,29,Seongnam,Gimpo Citizen,2.56,3.06,3.16,1.07,7.0,1.38,2.8,2.2,1.62,1.5,2.4,1.91,1.8,1.48,1.35,1.48,1.31,1.92,1.57,1.29,2.86,1.83,6.5,2.5,1.57,1.93,2.43,3.94,5.9
South Korea K League 2,2023-08-30,07:30:00,29,Cheongju,Anyang,4.02,3.48,2.01,1.05,10.5,1.32,3.05,1.95,1.75,1.4,2.75,1.82,1.88,1.65,1.27,1.35,1.62,1.67,1.31,1.66,2.97,2.9,6.5,1.65,1.74,2.26,3.04,4.1,6.3
Finland Veikkausliiga,2023-08-30,12:00:00,4,Lahti,Inter Turku,3.37,3.49,2.25,1.06,8.0,1.33,3.25,2.02,1.87,1.35,2.95,1.7,2.0,1.68,1.28,1.34,0.89,1.1,1.33,1.51,2.84,2.45,9.5,1.77,1.2,1.38,1.67,2.12,2.85
Poland Ekstraklasa,2023-08-30,13:30:00,20,Pogoń Szczecin,Śląsk Wrocław,1.65,4.16,5.3,1.04,13.5,1.26,3.95,1.83,1.87,1.34,3.0,1.77,1.9,1.17,1.24,2.2,1.5,1.33,1.89,1.26,3.15,1.34,11.0,3.9,1.18,1.3,1.62,1.96,2.43
Iceland Úrvalsdeild,2023-08-30,14:30:00,14,FH,KA,1.97,3.79,3.43,1.03,11.5,1.19,4.2,1.42,2.75,1.29,3.15,1.53,2.3,1.33,1.28,1.7,2.2,0.67,1.7,1.45,3.15,1.88,9.5,2.19,1.12,1.26,1.52,1.72,2.08
Italy Serie B,2023-08-30,15:30:00,3,Ternana,Cremonese,3.37,3.25,2.36,1.08,6.5,1.38,2.8,2.25,1.57,1.48,2.5,1.91,1.8,1.62,1.38,1.33,0.0,0.0,0.99,0.0,0.99,2.3,7.5,1.88,1.25,1.47,1.85,2.4,3.3
Italy Serie B,2023-08-30,15:30:00,3,Sampdoria,Venezia,2.23,3.52,3.38,1.05,8.0,1.33,3.0,2.08,1.82,1.43,2.63,1.85,1.85,1.25,1.3,1.88,0.0,0.0,1.19,0.0,1.19,1.67,7.0,2.8,1.25,1.47,1.88,2.4,3.3
Italy Serie B,2023-08-30,15:30:00,3,Bari 1908,Cittadella,2.36,3.08,3.58,1.09,6.0,1.43,2.63,2.3,1.53,1.5,2.4,2.0,1.73,1.33,1.38,1.62,1.0,0.0,1.0,1.22,2.22,2.0,7.0,2.2,1.22,1.51,1.81,2.23,3.04
Italy Serie B,2023-08-30,15:30:00,3,Catanzaro,Spezia,3.13,3.34,2.45,1.08,6.5,1.43,2.63,2.3,1.57,1.5,2.4,2.0,1.73,1.7,1.35,1.3,3.0,1.0,1.53,1.8,3.33,2.25,7.0,1.95,1.25,1.47,1.85,2.4,3.3
Europe UEFA Champions League,2023-08-30,16:00:00,0,PSV,Rangers,1.55,4.63,5.92,1.02,17.0,1.19,4.75,1.6,2.25,1.29,3.5,1.73,2.0,1.12,1.17,2.65,2.33,1.67,2.48,1.58,4.06,1.36,8.0,4.2,1.2,1.32,1.61,2.0,2.62
Europe UEFA Champions League,2023-08-30,16:00:00,0,København,Raków Częstochowa,1.65,3.98,5.69,1.03,9.0,1.29,3.3,2.0,1.89,1.4,2.75,1.91,1.8,1.16,1.22,2.3,2.2,2.29,1.86,1.39,3.25,1.33,8.5,4.33,1.31,1.58,1.88,2.65,3.15
Europe UEFA Champions League,2023-08-30,16:00:00,0,AEK Athens,Royal Antwerp FC,1.77,3.85,4.34,1.05,11.0,1.28,3.78,1.86,1.88,1.4,2.75,1.8,1.91,1.23,1.3,1.95,1.33,3.0,2.4,0.0,2.4,1.38,8.0,4.0,1.33,1.67,2.0,2.85,3.6
Brazil Serie B,2023-08-30,19:00:00,26,Novorizontino,Ituano,1.6,3.69,6.75,1.08,8.0,1.44,2.65,2.37,1.53,1.5,2.49,2.36,1.56,1.11,1.26,2.41,1.92,1.0,1.99,1.26,3.25,1.38,8.0,4.0,0.0,1.23,1.48,1.88,2.13
USA MLS,2023-08-30,20:30:00,0,Atlanta United FC,FC Cincinnati,2.11,3.89,3.37,1.02,17.0,1.2,4.5,1.57,2.25,1.3,3.4,1.53,2.38,1.4,1.22,1.68,2.08,1.42,1.73,1.35,3.08,1.71,7.5,2.5,1.27,1.5,1.87,2.35,3.1
