League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre
Bulgaria First League,2023-10-02,09:00:00,12,Hebar 1918,Levski Krumovgrad,2.88,2.05,4.0,2.1,3.05,3.32,1.45,2.6,1.05,8.0,1.36,2.95,2.41,1.5,1.87,1.87,1.28,1.25,1.57,1.33,0.6,1.55,1.39,2.94
Bulgaria First League,2023-10-02,11:30:00,12,OFK Pirin,Slavia Sofia,4.0,2.0,3.1,3.32,3.05,2.1,1.48,2.5,1.06,7.0,1.4,2.8,2.34,1.53,1.9,1.83,1.47,1.28,1.33,0.67,0.67,1.07,1.29,2.36
Romania Liga I,2023-10-02,12:00:00,11,CSM Iaşi,Petrolul 52,3.05,1.96,3.92,2.35,3.0,2.97,1.52,2.44,1.06,6.85,1.48,2.47,2.23,1.58,2.01,1.75,1.4,1.35,1.55,0.33,1.25,1.42,1.29,2.71
Greece Super League,2023-10-02,12:00:00,7,Atromitos,Asteras Tripolis,3.0,2.0,4.0,2.15,3.1,3.5,1.5,2.5,1.08,8.0,1.42,2.8,2.28,1.58,1.95,1.8,1.3,1.3,1.68,1.0,1.0,1.33,1.19,2.52
Croatia Prva HNL,2023-10-02,13:00:00,10,Istra 1961,Lokomotiva Zagreb,3.2,2.1,3.4,2.26,2.98,2.62,1.44,2.6,1.07,7.5,1.33,3.1,1.95,1.7,1.8,1.95,1.42,1.28,1.53,0.5,0.75,1.43,1.24,2.67
Italy Serie A,2023-10-02,13:30:00,7,Sassuolo,Monza,2.75,2.4,3.4,2.2,3.85,2.94,1.29,3.5,1.01,13.0,1.17,4.75,1.54,2.38,1.5,2.5,1.42,1.22,1.68,2.0,0.33,1.49,1.21,2.7
Italy Serie A,2023-10-02,13:30:00,7,Torino,Hellas Verona,2.6,2.05,5.0,1.84,3.45,4.51,1.5,2.5,1.05,7.2,1.41,2.68,2.29,1.58,2.05,1.7,1.15,1.35,1.93,1.67,1.0,1.28,1.17,2.45
Sweden Superettan,2023-10-02,14:00:00,25,Brage,Skövde AIK,2.2,2.4,4.75,1.64,3.95,4.31,1.29,3.35,1.02,15.0,1.2,4.5,1.64,2.12,1.66,2.15,1.18,1.18,2.25,1.92,0.33,1.56,1.35,2.91
Sweden Superettan,2023-10-02,14:00:00,25,Utsikten,AFC Eskilstuna,2.46,2.19,4.32,1.77,3.75,3.8,1.32,3.22,1.04,13.0,1.3,3.5,1.78,1.93,1.83,1.93,1.18,1.25,1.98,2.17,0.75,1.69,1.41,3.1
Denmark Superliga,2023-10-02,14:00:00,10,OB,Lyngby,2.88,2.3,3.5,2.25,3.5,3.08,1.33,3.25,1.03,12.5,1.25,3.95,1.77,1.98,1.57,2.25,1.4,1.25,1.68,0.4,1.0,1.21,1.35,2.56
Bulgaria First League,2023-10-02,14:00:00,12,Lokomotiv Plovdiv,CSKA Sofia,4.0,2.05,3.0,3.45,3.25,1.97,1.45,2.6,1.1,5.8,1.36,3.0,2.19,1.6,1.87,1.87,1.47,1.25,1.25,2.67,2.0,1.46,1.44,2.9
Turkey Süper Lig,2023-10-02,14:00:00,7,Kayserispor,İstanbul Başakşehir,3.25,2.15,3.3,2.5,3.4,2.65,1.42,3.1,1.03,10.65,1.27,3.61,1.9,1.9,1.68,2.15,1.52,1.35,1.53,2.33,1.0,1.27,1.23,2.5
Portugal LigaPro,2023-10-02,14:00:00,6,FC Penafiel,CD Nacional,2.8,2.05,3.75,2.1,3.25,3.11,1.44,2.6,1.06,7.2,1.36,3.0,2.0,1.72,1.83,1.9,1.25,1.25,1.7,2.0,1.5,1.36,1.58,2.94
Greece Super League,2023-10-02,14:00:00,7,OFI,AEK Athens,6.0,2.25,2.1,6.25,3.7,1.55,1.4,2.75,1.05,10.0,1.3,3.5,1.87,1.87,1.95,1.8,2.5,1.2,1.11,2.33,3.0,1.42,1.71,3.13
Sweden Superettan,2023-10-02,14:00:00,25,Jönköpings Södra,Östersunds FK,3.08,2.25,2.98,2.66,3.4,2.35,1.31,3.28,1.04,14.25,1.23,4.18,1.77,1.94,1.64,2.2,1.44,1.28,1.49,1.67,1.17,1.38,1.34,2.72
Serbia SuperLiga,2023-10-02,14:00:00,10,Voždovac,Novi Pazar,2.8,2.05,3.6,2.2,3.25,3.1,1.4,2.75,1.07,7.9,1.37,3.05,2.1,1.68,1.85,1.85,1.32,1.35,1.62,2.0,0.25,1.67,1.17,2.84
Poland Ekstraklasa,2023-10-02,14:00:00,10,Górnik Zabrze,Zagłębie Lubin,3.2,2.2,3.25,2.51,3.35,2.58,1.4,2.75,1.05,8.5,1.28,3.5,1.87,1.83,1.7,2.05,1.4,1.25,1.5,1.25,0.75,1.14,1.3,2.44
Sweden Allsvenskan,2023-10-02,14:00:00,25,Elfsborg,Varberg,1.5,3.2,10.0,1.14,7.9,12.31,1.18,4.5,1.02,29.0,1.09,7.5,1.34,2.99,1.95,1.8,1.01,1.05,5.5,2.17,0.67,1.87,1.36,3.23
Sweden Allsvenskan,2023-10-02,14:10:00,25,Malmö FF,Brommapojkarna,1.73,2.75,7.5,1.28,5.65,7.89,1.22,4.0,1.01,26.0,1.12,6.5,1.4,2.73,1.75,2.0,1.03,1.1,3.75,2.25,1.08,2.0,1.4,3.4
Romania Liga I,2023-10-02,15:00:00,11,FCSB,Universitatea Cluj,2.05,2.28,6.0,1.49,4.0,5.75,1.35,2.9,1.01,10.5,1.22,3.7,1.85,1.85,1.97,1.78,1.11,1.2,2.51,3.0,1.8,1.72,1.33,3.05
Netherlands Eerste Divisie,2023-10-02,15:00:00,2,MVV,Eindhoven,3.0,2.25,3.3,2.45,3.6,2.7,1.3,3.2,1.03,15.0,1.22,4.2,1.72,2.1,1.6,2.3,1.47,1.25,1.57,1.0,1.67,1.08,1.14,2.22
Netherlands Eerste Divisie,2023-10-02,15:00:00,8,Utrecht II,NAC Breda,3.75,2.4,2.5,3.6,3.75,1.95,1.25,3.65,1.02,15.0,1.17,5.0,1.57,2.35,1.52,2.5,1.87,1.2,1.3,3.0,1.0,1.12,1.53,2.65
France Ligue 2,2023-10-02,15:45:00,9,Ajaccio,Bastia,3.0,1.95,3.75,2.24,3.0,3.28,1.52,2.39,1.1,7.0,1.45,2.65,2.32,1.54,2.0,1.75,1.28,1.28,1.6,1.5,0.5,1.34,1.2,2.54
Italy Serie A,2023-10-02,15:45:00,7,Fiorentina,Cagliari,2.0,2.38,6.5,1.47,4.35,6.9,1.36,3.0,1.02,10.0,1.25,3.6,1.77,1.98,2.0,1.75,1.09,1.17,2.75,2.0,0.33,1.61,0.95,2.56
England Premier League,2023-10-02,16:00:00,7,Fulham,Chelsea,4.0,2.2,2.63,3.84,3.45,2.02,1.36,3.0,1.06,11.0,1.31,3.6,1.87,1.87,1.75,2.0,1.82,1.29,1.31,1.5,0.5,1.08,1.83,2.91
Spain La Liga,2023-10-02,16:00:00,8,UD Las Palmas,Celta de Vigo,3.1,2.0,3.75,2.53,3.2,2.88,1.5,2.5,1.07,7.5,1.4,2.85,2.27,1.59,1.95,1.8,1.38,1.3,1.58,1.67,1.33,1.03,1.67,2.7
Spain Segunda División,2023-10-02,16:00:00,8,RCD Espanyol,Racing Club de Ferrol,2.2,2.25,5.5,1.57,3.9,5.51,1.4,2.75,1.04,8.5,1.3,3.2,1.89,1.81,1.91,1.8,1.11,1.2,2.05,2.33,1.25,1.75,0.88,2.63
Portugal LigaPro,2023-10-02,16:15:00,6,Torreense,CF Os Belenenses,2.3,2.2,5.5,1.65,3.5,4.69,1.43,2.63,1.05,8.0,1.33,3.0,1.96,1.75,1.91,1.8,1.17,1.29,2.05,3.0,1.5,2.0,1.41,3.41
Portugal Liga NOS,2023-10-02,16:15:00,7,Gil Vicente,Casa Pia,0.0,0.0,0.0,2.25,3.1,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.96,1.79,0.0,0.0,0.0,0.0,0.0,2.0,2.33,0.96,1.34,2.3
Iceland Úrvalsdeild,2023-10-02,16:15:00,4,Stjarnan,Víkingur Reykjavík,3.3,2.47,2.6,2.66,3.6,2.12,1.23,3.92,1.01,16.5,1.1,5.5,1.43,2.54,1.4,2.81,1.68,1.24,1.4,2.33,2.42,1.73,1.78,3.51
Paraguay Division Profesional,2023-10-02,18:00:00,13,Sportivo Luqueño,Guaireña,0.0,0.0,0.0,1.8,3.6,3.82,0.0,0.0,0.0,0.0,0.0,0.0,1.96,1.75,0.0,0.0,0.0,0.0,0.0,1.29,0.88,1.5,1.14,2.64
Argentina Primera División,2023-10-02,18:30:00,7,Barracas Central,Sarmiento,3.1,1.91,4.33,2.29,2.94,3.48,1.57,2.25,1.08,7.15,1.56,2.45,2.6,1.48,2.25,1.57,1.33,1.3,1.66,1.69,0.94,1.16,1.05,2.21
Argentina Primera División,2023-10-02,18:30:00,7,Godoy Cruz,Instituto,3.1,1.91,4.33,2.23,2.95,3.62,1.62,2.2,1.07,6.15,1.58,2.39,2.7,1.44,2.2,1.62,1.62,1.33,1.33,2.06,1.0,1.63,1.13,2.76
Chile Primera División,2023-10-02,19:00:00,25,Universidad Chile,Audax Italiano,2.75,2.1,4.0,1.97,3.4,3.19,1.4,2.75,1.03,8.4,1.28,3.3,1.9,1.77,1.8,1.91,1.27,1.3,1.55,1.27,0.92,1.51,1.37,2.88
Brazil Serie A,2023-10-02,20:00:00,25,Botafogo,Goiás,2.2,2.2,6.5,1.47,4.05,6.34,1.44,2.63,1.03,8.1,1.33,2.93,2.0,1.72,2.2,1.62,1.1,1.24,2.51,2.75,0.92,1.88,1.26,3.14
Paraguay Division Profesional,2023-10-02,20:30:00,13,Olimpia,Resistencia,0.0,0.0,0.0,1.43,4.7,5.47,0.0,0.0,0.0,0.0,0.0,0.0,1.65,2.11,0.0,0.0,0.0,0.0,0.0,1.53,0.88,1.48,1.31,2.79
Argentina Primera División,2023-10-02,21:00:00,7,Atlético Tucumán,Central Córdoba SdE,2.63,1.91,5.5,1.83,3.5,4.2,1.62,2.2,1.11,6.28,1.61,2.33,2.7,1.44,2.5,1.5,1.18,1.3,1.95,1.81,0.94,1.42,1.22,2.64
Argentina Primera División,2023-10-02,21:00:00,7,Platense,Argentinos Juniors,4.0,1.91,3.25,3.1,3.2,2.38,1.62,2.2,1.09,6.71,1.58,2.4,2.7,1.44,2.25,1.57,1.57,1.33,1.36,1.71,1.12,1.44,1.45,2.89
