League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Portugal LigaPro,2024-01-12,15:00:00,17,Leixões,UD Oliveirense,2.45,2.1,4.2,1.85,3.3,3.65,1.4,2.75,1.06,8.0,1.3,3.4,1.95,1.75,1.85,1.85,1.22,1.29,1.83,0.86,1.0,1.45,1.2,2.65,1.56,9.0,2.83,1.16,4.6,1.31,3.1,1.53,2.34,1.98,1.83,2.32,1.54
Netherlands Eerste Divisie,2024-01-12,16:00:00,21,Telstar,AZ II,2.7,2.25,3.2,2.14,3.55,2.86,1.33,3.25,1.04,10.0,1.25,3.75,1.73,2.0,1.61,2.27,1.36,1.29,1.62,1.0,0.89,1.64,1.34,2.98,1.67,9.2,2.6,1.22,3.65,1.49,2.59,1.8,2.01,2.24,1.64,2.98,1.32
Netherlands Eerste Divisie,2024-01-12,16:00:00,21,Roda JC,Eindhoven,2.25,2.3,4.3,1.71,3.78,4.17,1.3,3.4,1.03,16.0,1.2,4.1,1.65,2.15,1.62,2.15,1.23,1.22,2.0,2.5,1.8,2.02,1.52,3.54,1.35,11.0,3.82,1.16,4.6,1.28,3.2,1.56,2.37,1.92,1.88,2.39,1.56
Netherlands Eerste Divisie,2024-01-12,16:00:00,21,Cambuur,MVV,1.85,2.6,4.75,1.49,4.5,4.85,1.22,4.0,1.02,13.0,1.14,5.0,1.44,2.62,1.56,2.39,1.12,1.2,2.5,1.5,1.4,1.85,1.33,3.18,1.3,11.0,4.3,1.18,4.3,1.31,3.04,1.62,2.26,2.0,1.81,2.52,1.51
Netherlands Eerste Divisie,2024-01-12,16:00:00,21,Dordrecht,Helmond Sport,2.4,2.5,3.25,2.0,3.85,2.95,1.25,3.75,1.02,12.0,1.15,4.75,1.5,2.5,1.46,2.65,1.33,1.22,1.75,1.82,0.78,1.9,1.14,3.04,1.85,9.2,2.25,1.17,4.5,1.29,3.14,1.6,2.3,1.95,1.85,2.45,1.53
Netherlands Eerste Divisie,2024-01-12,16:00:00,21,Oss,Willem II,5.25,2.38,2.05,5.1,4.15,1.51,1.33,3.25,1.04,10.0,1.25,3.75,1.73,2.0,1.85,1.93,2.45,1.22,1.11,1.0,1.8,1.28,1.38,2.66,3.82,10.5,1.36,1.22,3.8,1.41,2.65,1.74,2.08,2.14,1.7,2.65,1.42
Netherlands Eredivisie,2024-01-12,16:00:00,17,RKC Waalwijk,Heracles,2.5,2.3,4.0,1.9,3.65,3.45,1.33,3.25,1.03,15.0,1.21,4.25,1.65,2.1,1.62,2.2,1.3,1.22,1.88,0.88,0.63,1.2,1.21,2.41,1.63,7.5,2.65,1.22,3.5,1.42,2.5,1.73,1.96,2.17,1.58,2.8,1.34
Netherlands Eerste Divisie,2024-01-12,16:00:00,21,ADO Den Haag,De Graafschap,2.5,2.3,3.4,2.03,3.7,2.98,1.3,3.2,1.02,10.0,1.18,4.33,1.6,2.2,1.56,2.38,1.38,1.25,1.75,1.67,1.8,1.55,1.58,3.13,1.7,9.5,2.5,1.17,4.4,1.3,3.08,1.61,2.29,1.97,1.83,2.47,1.53
Germany Bundesliga,2024-01-12,16:30:00,17,Bayern München,Hoffenheim,1.44,3.5,9.5,1.12,10.0,11.0,1.14,5.5,1.01,55.0,1.04,9.5,1.25,3.75,1.7,2.05,1.0,1.04,4.72,2.71,2.0,2.25,1.36,3.61,1.12,15.0,9.0,1.15,4.4,1.28,3.1,1.5,2.33,1.82,1.86,2.25,1.53
Spain Segunda División,2024-01-12,16:30:00,22,SD Eibar,Racing Santander,2.4,2.2,4.75,1.7,3.4,4.2,1.4,2.75,1.05,9.0,1.3,3.3,1.9,1.8,1.83,1.83,1.21,1.28,1.95,1.9,1.0,1.67,1.3,2.97,1.45,8.5,3.33,1.26,3.3,1.5,2.35,2.0,1.8,2.5,1.44,3.5,1.24
