League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Irish Division 1,2024-06-03,11:00:00,Wexford F.C,Longford,1.62,1.85,4.8,6.6,3.3,5.6,1.9,2.26,1.8,2.1,1.8,2.1,1.91,2.26,2.04,17.0,1.6,21.0,1.6,1000.0,1.6,1000.0,1.92,9.8,1.94,10.5,4.9,24.0,6.4,1000.0,1.93,11.5,1.96,11.0,5.4,24.0,6.0,1000.0,2.32,19.0,2.08,20.0,5.6,1000.0,1.6,1000.0,1.41,11.5,1.39,1000.0,6.6,1000.0,33318201,22975264.0,184330.0,58805.0,1.229547582,1.229547627,1.229547666,1.229547591
Uruguayan Primera Division,2024-06-03,12:30:00,Liverpool Montevideo,Cerro,1.8,2.14,4.1,5.7,3.5,4.2,1.83,2.0,2.0,2.22,1.81,2.12,1.89,2.22,10.5,16.0,12.5,19.0,4.2,42.0,4.2,1000.0,7.2,10.5,7.0,10.5,13.5,23.0,4.1,75.0,8.4,14.0,8.6,13.0,15.0,25.0,4.1,85.0,15.5,27.0,15.5,26.0,4.1,50.0,4.1,1000.0,3.4,17.5,4.0,85.0,4.2,1000.0,33308387,5789820.0,2329297.0,58805.0,1.229431128,1.229431173,1.229431212,1.229431137
Irish Premier Division,2024-06-03,13:00:00,Sligo Rovers,Drogheda,2.34,2.54,3.2,3.55,3.25,3.6,1.72,1.91,2.08,2.4,1.89,2.02,1.98,2.12,10.0,12.5,10.5,13.0,18.0,25.0,6.2,65.0,7.6,10.5,6.4,8.4,12.0,16.0,5.9,46.0,12.0,16.0,9.6,13.0,17.0,22.0,6.2,65.0,6.2,38.0,22.0,32.0,6.0,55.0,6.4,140.0,5.4,26.0,5.9,48.0,6.8,1000.0,33318206,387040.0,184329.0,58805.0,1.229548010,1.229548055,1.229548094,1.229548019
Irish Division 1,2024-06-03,13:00:00,Bray Wanderers,Cobh Ramblers,1.99,2.2,3.75,4.5,3.5,4.3,1.84,2.16,1.86,2.2,1.74,2.02,1.99,2.36,2.54,15.5,2.54,16.0,1.36,32.0,1.51,1000.0,2.02,10.5,4.1,9.2,1.51,18.0,1.51,1000.0,4.5,14.0,4.3,12.0,2.52,21.0,1.51,1000.0,1.55,28.0,1.51,24.0,1.51,1000.0,1.51,1000.0,1.39,17.0,1.22,1000.0,1.14,1000.0,33318197,298591.0,392220.0,58805.0,1.229547762,1.229547807,1.229547846,1.229547771
Irish Division 1,2024-06-03,13:00:00,Finn Harps,Athlone Town,2.06,2.82,2.8,4.2,2.92,6.4,1.68,2.18,1.86,2.46,1.68,2.18,1.86,2.48,3.45,15.5,3.4,15.0,3.8,28.0,4.1,1000.0,3.35,12.0,3.15,9.6,3.55,17.5,4.0,1000.0,3.55,18.0,3.35,14.0,3.65,23.0,4.1,1000.0,3.9,40.0,3.85,34.0,4.1,55.0,4.2,1000.0,3.25,26.0,3.45,1000.0,3.3,1000.0,33318200,385761.0,4064631.0,58805.0,1.229547672,1.229547717,1.229547756,1.229547681
Irish Division 1,2024-06-03,13:00:00,Kerry FC,Treaty United,2.72,3.4,2.36,2.9,3.1,3.95,1.78,2.08,1.92,2.3,1.73,2.0,2.0,2.38,2.82,14.0,1.88,12.0,2.96,18.5,2.02,1000.0,1.84,13.0,3.9,8.6,4.4,13.5,5.5,1000.0,1.86,22.0,3.05,15.0,3.0,21.0,6.0,1000.0,4.4,1000.0,5.7,1000.0,5.9,1000.0,1.77,1000.0,1.4,1000.0,1.47,27.0,6.6,1000.0,33318202,51047170.0,38594512.0,58805.0,1.229547492,1.229547537,1.229547576,1.229547501
Irish Division 1,2024-06-03,13:00:00,Cork City,UCD,1.57,1.67,5.8,9.2,3.85,4.4,1.76,1.91,2.08,2.32,2.14,2.36,1.73,1.87,3.65,15.0,14.0,26.0,4.0,70.0,4.2,1000.0,5.9,8.6,8.2,11.5,3.85,36.0,4.2,160.0,6.4,10.5,7.8,12.5,3.8,36.0,4.2,160.0,3.65,18.5,3.7,24.0,4.0,60.0,4.2,1000.0,3.25,13.5,4.2,240.0,4.3,1000.0,33318196,298594.0,184328.0,58805.0,1.229547852,1.229547897,1.229547936,1.229547861
Finnish Ykkonen,2024-06-03,13:00:00,OLS,RoPS,1.04,1000.0,1.04,1000.0,1.02,950.0,1.07,1000.0,1.01,21.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,9.4,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,8.2,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33319937,396721.0,396725.0,58805.0,1.229570542,1.229570587,1.229570626,1.229570551
Irish Premier Division,2024-06-03,13:15:00,St Patricks,Dundalk,1.88,2.02,4.1,5.3,3.25,4.2,1.8,2.0,2.0,2.26,1.94,2.08,1.92,2.06,4.6,13.5,4.7,16.5,5.6,38.0,6.2,120.0,7.0,9.0,7.0,9.0,5.0,21.0,6.0,75.0,4.3,12.5,4.2,12.0,5.2,24.0,6.2,85.0,5.2,24.0,5.2,24.0,5.8,48.0,6.4,1000.0,4.8,17.0,6.2,85.0,6.6,1000.0,33318199,364471.0,198746.0,58805.0,1.229548190,1.229548235,1.229548274,1.229548199
Irish Premier Division,2024-06-03,14:00:00,Derry City,Waterford,1.44,1.52,8.0,11.0,4.5,5.3,1.89,2.04,1.98,2.14,2.16,2.56,1.64,1.87,5.2,15.5,5.6,27.0,6.6,85.0,6.8,1000.0,5.9,7.8,4.7,12.0,6.0,40.0,6.8,1000.0,6.4,8.4,4.6,11.5,5.9,34.0,6.8,1000.0,9.8,13.5,5.6,19.0,6.2,55.0,6.8,1000.0,4.0,9.2,6.8,1000.0,7.0,1000.0,33318205,298592.0,364470.0,58805.0,1.229548100,1.229548145,1.229548184,1.229548109
