Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,AH_Neg05_H,AH_Pos05_A,AH_Pos05_H,AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
Ecu3upBI,24/07/2023,07:00,SOUTH KOREA - K LEAGUE 2,Gimpo FC,Ansan Greeners,ROUND 23,1.67,3.5,4.5,1.05,11.0,1.3,3.4,2.0,1.8,3.5,1.29,7.0,1.1,1.91,1.8,1.7,2.1,1.19,4.5,9.5,12.0,23.0,51.0,6.5,7.0,15.0,41.0,7.5,8.5,17.0,41.0,13.0,15.0,29.0,51.0,351.0
QXr7v4QO,24/07/2023,07:30,SOUTH KOREA - K LEAGUE 2,Busan,Anyang,ROUND 23,2.63,3.1,2.45,1.07,9.0,1.36,3.0,2.1,1.7,3.75,1.25,8.0,1.08,1.83,1.83,2.68,1.45,1.53,2.43,8.5,8.0,12.0,26.0,8.0,6.0,10.0,21.0,13.0,11.0,15.0,34.0,29.0,23.0,34.0,51.0,301.0
nJyUzUoj,24/07/2023,12:30,ROMANIA - LIGA 1,FC Botosani,Petrolul,ROUND 2,2.2,3.3,2.9,1.07,8.5,1.4,2.75,2.2,1.65,4.0,1.22,9.0,1.07,2.0,1.73,2.25,1.63,1.4,2.85,8.5,8.0,15.0,34.0,7.0,6.5,11.0,26.0,10.0,9.5,17.0,41.0,21.0,21.0,34.0,67.0,351.0
IZmYDUoJ,24/07/2023,13:00,POLAND - DIVISION 1,S. Rzeszow,Odra Opole,ROUND 1,2.25,3.25,2.9,1.05,11.0,1.25,3.75,1.9,1.95,3.25,1.33,6.0,1.13,1.67,2.1,2.3,1.6,1.4,2.85,11.0,10.0,15.0,29.0,8.5,6.5,11.0,23.0,12.0,9.5,13.0,29.0,21.0,19.0,26.0,41.0,201.0
faTilEv8,24/07/2023,13:00,BULGARIA - PARVA LIGA,Botev Vratsa,Slavia Sofia,ROUND 2,4.0,3.3,2.0,1.07,9.0,1.33,3.25,2.1,1.7,3.75,1.25,8.0,1.08,1.83,1.83,3.7,1.26,1.83,2.03,8.5,7.0,9.0,17.0,10.0,6.0,9.0,17.0,19.0,13.0,15.0,29.0,41.0,34.0,41.0,51.0,301.0
vaJEB6Fm,24/07/2023,14:00,SWEDEN - SUPERETTAN,Helsingborg,Trelleborg,ROUND 15,1.91,3.4,3.5,1.05,11.0,1.29,3.5,1.98,1.88,3.4,1.3,6.5,1.11,1.8,1.95,2.03,1.83,1.3,3.45,10.0,11.0,19.0,41.0,7.5,6.5,13.0,29.0,9.5,8.5,15.0,34.0,17.0,15.0,26.0,51.0,251.0
AT0jHSiQ,24/07/2023,14:00,SWEDEN - SUPERETTAN,GAIS,Vasteras SK,ROUND 15,1.95,3.4,3.5,1.04,13.0,1.22,4.0,1.73,2.08,2.75,1.4,5.5,1.14,1.67,2.1,1.98,1.88,1.28,3.55,12.0,12.0,21.0,41.0,8.5,6.5,13.0,29.0,10.0,8.5,13.0,34.0,17.0,15.0,23.0,41.0,151.0
8QHn9q1s,24/07/2023,14:00,SWEDEN - ALLSVENSKAN,Sirius,Mjallby,ROUND 16,2.1,3.5,3.4,1.05,11.0,1.29,3.5,1.95,1.9,3.25,1.33,6.5,1.11,1.75,2.0,2.05,1.75,1.33,3.3,11.0,11.0,17.0,41.0,8.0,6.5,12.0,26.0,10.0,9.0,15.0,34.0,19.0,17.0,26.0,51.0,201.0
C0R95Pko,24/07/2023,14:00,POLAND - EKSTRAKLASA,Korona Kielce,Slask Wroclaw,ROUND 1,2.45,3.3,2.6,1.05,11.0,1.3,3.4,2.03,1.83,3.5,1.29,7.0,1.1,1.75,2.0,2.43,1.53,1.48,2.6,10.0,9.0,13.0,29.0,8.5,6.5,10.0,21.0,12.0,10.0,15.0,29.0,23.0,21.0,29.0,51.0,201.0
ENGR1FEm,24/07/2023,15:00,PERU - LIGA 1,Binacional,Dep. Municipal,CLAUSURA ,1.44,4.75,7.0,1.04,13.0,1.22,4.0,1.7,2.1,2.75,1.4,5.0,1.17,1.91,1.8,1.43,2.75,1.12,6.4,13.0,17.0,34.0,81.0,7.5,8.5,21.0,51.0,7.0,8.5,19.0,51.0,9.5,12.0,26.0,51.0,301.0
