Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
GGY6T65K,21/09/2023,10:00,EGYPT - PREMIER LEAGUE,Pharco,Future FC,ROUND 1,3.0,2.82,2.47,1.57,2.12,1.08,6.15,1.47,2.32,2.35,1.47,4.0,1.16,9.4,1.01,1.98,1.65,,,,,6.5,7.0,11.0,26.0,7.0,5.5,10.0,23.0,12.0,10.0,15.0,36.0,31.0,26.0,46.0,91.0,201.0
G8jJqo1a,21/09/2023,11:30,SERBIA - SUPER LIGA,IMT Novi Beograd,Radnicki 1923,ROUND 8,2.18,3.3,3.15,1.42,2.67,1.06,7.3,1.29,3.25,1.88,1.85,3.05,1.33,5.3,1.12,1.7,2.02,2.15,1.65,,,9.5,10.0,17.0,41.0,7.5,6.0,11.0,26.0,9.5,8.0,13.0,34.0,18.0,15.0,26.0,56.0,201.0
AgtndcIE,21/09/2023,11:30,TUNISIA - LIGUE PROFESSIONNELLE 1,Etoile Sahel,Club Africain,ROUND 4,1.78,3.2,4.9,1.6,2.27,1.11,5.6,1.5,2.42,2.42,1.5,4.4,1.17,7.6,1.05,2.27,1.57,1.75,2.02,,,5.5,8.0,17.0,56.0,5.0,5.5,12.0,36.0,7.0,7.5,15.0,51.0,13.0,15.0,31.0,101.0,201.0
riCnfLtJ,21/09/2023,11:30,INDIA - ISL,Kerala Blasters,Bengaluru FC,-,2.3,3.3,2.88,1.36,3.0,1.05,11.0,1.25,3.75,1.88,1.93,3.25,1.33,6.0,1.13,1.67,2.1,2.3,1.6,1.4,2.85,11.0,10.0,15.0,29.0,9.0,6.5,11.0,23.0,12.0,9.5,13.0,29.0,23.0,19.0,26.0,41.0,201.0
p6ivHvxf,21/09/2023,11:45,IRAN - PERSIAN GULF PRO LEAGUE,Mes Rafsanjan,Aluminium Arak,ROUND 5,3.2,2.35,2.92,1.87,1.87,1.21,3.95,1.8,1.95,3.3,1.29,6.1,1.09,9.75,1.03,2.35,1.53,2.57,1.47,,,4.2,5.5,10.0,31.0,5.0,5.0,10.0,34.0,9.5,10.0,19.0,76.0,26.0,31.0,61.0,176.0,201.0
OCKZlsUA,21/09/2023,12:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Damac,Al Hilal,ROUND 7,12.0,7.0,1.17,1.2,4.33,23.0,1.02,1.1,6.5,1.33,3.4,1.83,1.83,3.0,1.36,1.91,1.8,,,4.65,1.18,23.0,11.0,7.5,7.5,34.0,15.0,11.0,11.0,51.0,34.0,23.0,26.0,151.0,67.0,51.0,51.0,201.0
tUvyUuho,21/09/2023,12:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Taawon,Al Raed,ROUND 7,1.53,4.0,5.0,1.3,3.4,1.03,10.0,1.2,4.33,1.65,2.2,2.5,1.5,4.5,1.17,1.8,1.91,1.55,2.38,1.16,5.25,13.0,17.0,29.0,51.0,8.0,8.0,17.0,41.0,8.0,8.5,17.0,41.0,11.0,12.0,23.0,51.0,201.0
jaMRj3ab,21/09/2023,12:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Ettifaq,Al Taee,ROUND 7,1.5,4.0,5.5,1.36,3.0,1.05,8.5,1.29,3.5,1.88,1.93,3.25,1.33,5.5,1.13,2.0,1.73,1.48,2.6,1.13,5.9,10.0,15.0,29.0,67.0,6.5,8.0,19.0,41.0,7.0,9.0,21.0,51.0,10.0,13.0,29.0,67.0,201.0
6FrxWTpA,21/09/2023,12:00,ARMENIA - PREMIER LEAGUE,Noah,Pyunik Yerevan,ROUND 8,3.55,3.55,1.83,1.36,2.9,1.01,9.6,1.25,3.42,1.78,1.83,2.98,1.32,5.6,1.09,1.72,2.07,,,,,8.5,6.5,8.0,14.0,9.0,5.5,6.5,12.0,15.0,10.0,11.0,20.0,36.0,23.0,31.0,51.0,201.0
j3fnFI66,21/09/2023,12:30,IRAN - PERSIAN GULF PRO LEAGUE,Esteghlal Khuzestan,Zob Ahan,ROUND 5,2.55,2.8,3.05,1.65,2.15,1.13,5.0,1.6,2.27,2.67,1.42,4.9,1.14,8.25,1.04,2.18,1.62,2.45,1.5,,,5.0,6.5,12.0,34.0,5.0,5.0,10.0,31.0,8.5,8.5,15.0,51.0,21.0,21.0,41.0,101.0,201.0
8hY1zLHB,21/09/2023,13:00,EGYPT - PREMIER LEAGUE,Al Ittihad,Ceramica Cleopatra,ROUND 1,2.82,2.87,2.57,1.47,2.32,1.04,7.5,1.36,2.67,2.05,1.6,3.35,1.23,7.2,1.05,1.75,1.85,,,,,8.5,8.0,12.0,23.0,8.5,6.0,9.0,21.0,13.0,10.0,13.0,31.0,26.0,23.0,36.0,71.0,201.0
AwYASQKQ,21/09/2023,13:00,EGYPT - PREMIER LEAGUE,Pyramids,Zamalek,ROUND 1,1.91,3.3,3.75,1.39,2.57,1.01,9.4,1.27,3.1,1.82,1.85,2.82,1.33,5.75,1.09,1.65,1.98,1.88,1.83,,,10.0,11.0,19.0,41.0,7.5,6.5,11.0,26.0,9.5,8.0,12.0,34.0,15.0,14.0,23.0,56.0,201.0
25M0kkZ2,21/09/2023,13:00,UGANDA - PREMIER LEAGUE,Vipers,Arua Hill,ROUND 2,1.45,3.8,6.4,1.44,2.47,1.03,9.0,1.32,3.1,1.98,1.65,3.5,1.26,7.5,1.05,2.2,1.64,,,,,8.5,13.0,31.0,81.0,5.0,7.0,19.0,76.0,5.5,7.0,17.0,76.0,9.0,11.0,26.0,81.0,101.0
I9GZHnWc,21/09/2023,13:30,ITALY - SERIE C,ACR Messina,Turris,GROUP C ,2.72,3.0,2.62,1.55,2.35,1.1,5.9,1.45,2.57,2.3,1.55,4.05,1.2,7.1,1.06,1.95,1.75,,,,,6.0,6.5,10.0,23.0,6.5,5.0,8.5,19.0,10.0,8.5,12.0,31.0,23.0,20.0,31.0,71.0,201.0
WCKwH6o4,21/09/2023,13:30,ITALY - SERIE C,Benevento,Taranto,GROUP C ,1.62,3.6,5.5,1.53,2.4,1.09,6.1,1.44,2.6,2.32,1.57,4.05,1.2,7.1,1.07,2.3,1.55,1.6,2.25,,,6.5,10.0,23.0,71.0,4.5,6.0,14.0,46.0,6.0,7.0,15.0,71.0,10.0,12.0,26.0,101.0,201.0
QZJsGQ0A,21/09/2023,13:30,ITALY - SERIE C,Brindisi,Monterosi,GROUP C ,2.45,3.1,2.87,1.53,2.4,1.09,6.0,1.44,2.6,2.3,1.57,4.0,1.2,7.0,1.07,1.95,1.75,2.4,1.53,,,6.5,7.0,10.0,23.0,6.5,5.0,8.5,20.0,10.0,8.5,12.0,31.0,21.0,18.0,31.0,76.0,201.0
rZIehmwj,21/09/2023,13:30,ITALY - SERIE C,Latina,Casertana,GROUP C ,2.1,3.15,3.45,1.55,2.37,1.09,6.0,1.44,2.6,2.3,1.57,4.05,1.2,7.0,1.07,2.0,1.72,2.07,1.7,,,6.5,7.5,13.0,34.0,5.5,5.0,10.0,26.0,8.0,7.5,12.0,36.0,17.0,15.0,26.0,81.0,201.0
WCt9Wooi,21/09/2023,13:30,ITALY - SERIE C,Sorrento,Avellino,GROUP C ,2.5,3.0,2.9,1.53,2.4,1.09,6.0,1.42,2.67,2.25,1.6,3.9,1.22,6.8,1.07,1.9,1.8,,,,,6.5,6.5,10.0,23.0,6.5,5.0,8.5,19.0,10.0,8.5,12.0,31.0,23.0,19.0,31.0,71.0,201.0
xrHLFzXE,21/09/2023,13:45,EUROPE - EUROPA CONFERENCE LEAGUE,Zrinjski,AZ Alkmaar,GROUP STAGE ,4.75,3.75,1.7,1.4,2.75,1.05,11.0,1.3,3.4,2.0,1.85,3.4,1.3,7.0,1.1,1.83,1.83,4.5,1.19,2.15,1.68,10.0,7.0,8.0,13.0,12.0,7.0,8.5,15.0,23.0,15.0,17.0,26.0,51.0,41.0,41.0,51.0,301.0
