Id,Date,Time,League,Home,Away,Round,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
lSPtufZT,12/04/2024,04:00,AUSTRALIA - A-LEAGUE,Wellington Phoenix,Melbourne Victory,ROUND 24,3.3,3.6,2.1,1.67,2.2,1.57,2.25
C6OkQWN8,12/04/2024,06:45,AUSTRALIA - A-LEAGUE,Adelaide United,Macarthur FC,ROUND 24,1.75,4.5,4.0,1.3,3.5,1.33,3.25
tzx3i0VE,12/04/2024,07:00,JAPAN - J1 LEAGUE,Kashiwa Reysol,Urawa Reds,ROUND 8,2.8,3.0,2.7,2.15,1.67,1.8,1.95
tlRKxEEg,12/04/2024,09:00,ARMENIA - PREMIER LEAGUE,Pyunik Yerevan,Alashkert,ROUND 28,1.5,3.95,5.2,1.65,1.98,1.81,1.95
pYuNbRVo,12/04/2024,11:30,ROMANIA - LIGA 1,UTA Arad,FC Hermannstadt,RELEGATION GROUP ,2.25,2.9,3.25,2.5,1.5,2.1,1.67
4GmhfKJd,12/04/2024,11:45,BULGARIA - PARVA LIGA,Botev Plovdiv,Botev Vratsa,ROUND 29,1.33,5.0,10.0,1.7,2.1,2.1,1.67
8Q9TzkWe,12/04/2024,12:00,FINLAND - VEIKKAUSLIIGA,Haka,Ekenas,-,1.65,3.6,4.5,1.73,2.08,1.75,2.0
nPvHPcpN,12/04/2024,12:00,CROATIA - HNL,Rudes,Slaven Belupo,ROUND 30,4.5,3.5,1.83,1.98,1.88,1.8,1.91
KvQOyYTa,12/04/2024,12:00,ARMENIA - PREMIER LEAGUE,Ararat-Armenia,Ararat Yerevan,ROUND 28,1.34,4.6,6.9,1.57,2.12,1.94,1.82
KY8pbymF,12/04/2024,12:30,SLOVAKIA - NIKE LIGA,Zilina,Ruzomberok,CHAMPIONSHIP GROUP ,1.78,3.7,4.15,1.8,1.98,1.72,2.0
8vRJu4tT,12/04/2024,12:45,FRANCE - NATIONAL,Niort,GOAL FC,ROUND 29,1.88,3.35,4.0,2.07,1.7,1.9,1.82
t2xMdv0p,12/04/2024,13:00,POLAND - EKSTRAKLASA,Warta Poznan,Korona Kielce,ROUND 28,2.45,3.1,2.75,2.5,1.5,2.1,1.67
IJZ19wW6,12/04/2024,13:00,POLAND - DIVISION 1,Zaglebie Sosnowiec,Leczna,ROUND 27,3.1,3.1,2.3,2.15,1.67,1.83,1.83
b3zX3Gzn,12/04/2024,13:00,CYPRUS - CYTA CHAMPIONSHIP,AEL Limassol,Othellos Athienou,RELEGATION GROUP ,1.65,3.55,4.85,1.78,1.93,1.7,1.93
nH8XZ8o2,12/04/2024,13:00,FINLAND - VEIKKAUSLIIGA,VPS,SJK,-,2.45,3.2,2.6,1.93,1.93,1.7,2.05
K0RRHqp0,12/04/2024,13:00,FINLAND - YKKONEN,Atlantis,Vaajakoski,-,1.8,3.5,3.75,1.7,2.1,1.57,2.1
tlZlpwt5,12/04/2024,13:10,AUSTRIA - 2. LIGA,Liefering,Grazer AK,ROUND 23,2.55,3.65,2.42,1.65,2.15,1.57,2.27
vslfsyQN,12/04/2024,13:10,AUSTRIA - 2. LIGA,Kapfenberg,Stripfing,ROUND 23,2.1,3.35,3.3,1.85,1.88,1.7,2.05
nRZpoJQb,12/04/2024,13:10,AUSTRIA - 2. LIGA,Dornbirn,First Vienna,ROUND 23,3.6,3.55,1.93,1.8,1.95,1.7,2.05
YNVtnaBh,12/04/2024,13:10,AUSTRIA - 2. LIGA,St. Polten,Admira,ROUND 23,2.0,3.35,3.5,1.93,1.8,1.75,1.95
tGZbo2nb,12/04/2024,13:30,GERMANY - 2. BUNDESLIGA,Hertha Berlin,Hansa Rostock,ROUND 29,1.67,4.0,5.0,1.53,2.4,1.57,2.25
foxZFa0a,12/04/2024,13:30,DENMARK - 1ST DIVISION,Naestved,Horsens,RELEGATION GROUP ,2.3,3.5,3.0,1.8,2.0,1.62,2.2
8tpJtv1T,12/04/2024,13:30,GERMANY - 2. BUNDESLIGA,Greuther Furth,Kaiserslautern,ROUND 29,2.4,3.5,2.88,1.7,2.1,1.54,2.25
8ltwFJF5,12/04/2024,13:30,DENMARK - 1ST DIVISION,Koge,B.93,RELEGATION GROUP ,2.4,3.6,2.8,1.62,2.25,1.53,2.38
vgdkUeKG,12/04/2024,13:30,DENMARK - 1ST DIVISION,Hobro,Aalborg,PROMOTION GROUP ,4.33,3.5,1.91,2.0,1.85,1.83,1.83
zX1FbhO2,12/04/2024,14:00,FINLAND - VEIKKAUSLIIGA,Inter Turku,AC Oulu,-,1.73,3.4,4.33,1.73,2.08,1.67,2.1
CSHzRWx5,12/04/2024,14:00,TURKEY - SUPER LIG,Trabzonspor,Sivasspor,ROUND 32,1.55,4.0,6.0,1.73,2.08,1.8,1.91
feXd52Di,12/04/2024,14:00,GERMANY - 3. LIGA,Duisburg,Mannheim,ROUND 33,2.8,3.3,2.4,1.88,1.98,1.67,2.1
t2rq5BKt,12/04/2024,14:00,SWEDEN - SUPERETTAN,Sundsvall,Skovde AIK,ROUND 3,2.05,3.4,3.2,1.9,1.95,1.75,2.0
U3dfjpfa,12/04/2024,14:00,TURKEY - 1. LIG,Manisa FK,Eyupspor,ROUND 30,3.3,3.4,2.1,1.98,1.83,1.8,1.91
G8tbYmM7,12/04/2024,14:00,DENMARK - SUPERLIGA,Odense,Viborg,RELEGATION GROUP ,2.25,3.5,3.1,1.8,2.0,1.62,2.2
Wr71jxJL,12/04/2024,14:15,BULGARIA - PARVA LIGA,CSKA Sofia,Pirin Blagoevgrad,ROUND 29,1.2,7.0,13.0,1.67,2.15,2.75,1.4
2qsRPE9R,12/04/2024,14:30,FRANCE - NATIONAL,Cholet,Sochaux,ROUND 29,3.15,3.25,2.18,1.93,1.8,1.72,2.0
EL3nyOlp,12/04/2024,14:30,FRANCE - NATIONAL,Dijon,Orleans,ROUND 29,2.45,3.0,2.95,2.15,1.65,1.83,1.87
KIfxbodc,12/04/2024,14:30,FRANCE - NATIONAL,Marignane GCB,Red Star,ROUND 29,4.65,3.65,1.7,1.9,1.85,1.85,1.85
2spsc5B3,12/04/2024,14:30,FRANCE - NATIONAL,Nimes,Versailles,ROUND 29,2.3,3.05,3.15,2.25,1.6,1.91,1.8
tSeYbRti,12/04/2024,14:30,FRANCE - NATIONAL,Chateauroux,Le Mans,ROUND 29,2.27,2.95,3.3,2.22,1.62,1.87,1.85
hC2jzr4j,12/04/2024,14:30,FRANCE - NATIONAL,Villefranche,Rouen,ROUND 29,2.65,2.92,2.77,2.32,1.57,1.91,1.8
E7pIYSWu,12/04/2024,14:30,SWITZERLAND - CHALLENGE LEAGUE,Xamax,Aarau,ROUND 29,2.1,3.55,3.1,1.57,2.25,1.5,2.4
G2kbfCOD,12/04/2024,14:30,AUSTRIA - BUNDESLIGA,LASK,Salzburg,CHAMPIONSHIP GROUP ,4.33,3.75,1.8,1.95,1.9,1.8,1.95
GplodPQ9,12/04/2024,14:30,FRANCE - NATIONAL,Avranches,Epinal,ROUND 29,2.2,3.3,3.1,1.88,1.85,1.7,2.05
4SiSBWGm,12/04/2024,14:30,ROMANIA - LIGA 1,Univ. Craiova,Farul Constanta,CHAMPIONSHIP GROUP ,1.8,3.4,4.2,1.98,1.88,1.8,1.91
j9FlE4nK,12/04/2024,15:00,NETHERLANDS - EERSTE DIVISIE,Willem II,Jong AZ,ROUND 34,1.4,5.0,7.0,1.57,2.35,1.8,1.91
Odzjg3Af,12/04/2024,15:00,NETHERLANDS - EERSTE DIVISIE,De Graafschap,Telstar,ROUND 34,1.8,4.2,4.0,1.53,2.4,1.53,2.38
ULLnfqel,12/04/2024,15:00,NETHERLANDS - EERSTE DIVISIE,Den Haag,Helmond,ROUND 34,1.53,4.5,5.5,1.53,2.4,1.62,2.2
