Id,Date,Time,League,Home,Away,Round,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3
ljUUGKjN,2024-06-28,19:00,SOUTH AMERICA - COPA AMÉRICA,Colombia,Costa Rica,ROUND 2,1.29,5.25,12.0,1.85,2.08,2.25,1.57,1.05,1.17,3.5,11.0,21.0,41.0,126.0,6.0,10.0,29.0,81.0,5.5,9.0,26.0,67.0,7.5,12.0,34.0,81.0
Q5YW65la,2024-06-28,22:00,SOUTH AMERICA - COPA AMÉRICA,Paraguay,Brazil,ROUND 2,11.0,4.75,1.33,1.89,2.04,2.25,1.57,3.25,1.18,1.05,11.0,6.0,6.0,8.0,17.0,9.5,9.0,13.0,41.0,23.0,26.0,34.0,101.0,67.0,67.0,81.0
p0tqX2qH,2024-06-29,13:00,EUROPE - EURO,Switzerland,Italy,PLAY OFFS ,3.4,2.9,2.4,2.63,1.5,2.1,1.67,1.53,1.4,1.3,6.0,6.5,11.0,23.0,8.0,6.0,11.0,26.0,15.0,13.0,21.0,41.0,41.0,34.0,51.0,81.0
UmziYSZ0,2024-06-29,16:00,EUROPE - EURO,Germany,Denmark,PLAY OFFS ,1.62,3.8,6.0,2.1,1.73,2.0,1.73,1.13,1.25,2.25,9.0,13.0,29.0,67.0,6.5,7.5,19.0,51.0,7.5,9.0,21.0,51.0,13.0,15.0,34.0,67.0
d8PA1ACJ,2024-06-29,21:00,SOUTH AMERICA - COPA AMÉRICA,Argentina,Peru,ROUND 3,1.48,4.2,7.5,2.1,1.73,2.2,1.62,1.1,1.22,2.63,9.0,15.0,34.0,81.0,5.5,8.0,21.0,51.0,6.0,9.0,21.0,51.0,9.5,13.0,34.0,81.0
8xpcFWtp,2024-06-29,21:00,SOUTH AMERICA - COPA AMÉRICA,Canada,Chile,ROUND 3,3.7,3.3,2.1,2.3,1.62,2.0,1.75,1.7,1.33,1.29,8.0,6.5,9.0,19.0,9.0,6.5,9.5,19.0,17.0,13.0,17.0,34.0,41.0,34.0,41.0,67.0
QZ9sqLro,2024-06-30,13:00,EUROPE - EURO,England,Slovakia,PLAY OFFS ,1.4,4.33,9.0,2.1,1.73,2.5,1.5,1.07,1.2,2.75,8.5,17.0,41.0,126.0,5.5,9.0,29.0,81.0,6.0,9.5,29.0,81.0,9.0,15.0,41.0,101.0
YyV2j3jB,2024-06-30,16:00,EUROPE - EURO,Spain,Georgia,PLAY OFFS ,1.2,6.5,15.0,1.67,2.2,2.5,1.5,1.03,1.11,4.33,12.0,26.0,51.0,251.0,7.0,13.0,41.0,101.0,5.5,11.0,34.0,101.0,7.0,13.0,41.0,126.0
pYcbh6Z5,2024-06-30,21:00,SOUTH AMERICA - COPA AMÉRICA,Jamaica,Venezuela,ROUND 3,4.2,3.4,1.91,2.3,1.62,2.05,1.7,1.83,1.3,1.22,8.0,6.0,8.0,15.0,9.5,6.5,9.0,17.0,21.0,15.0,19.0,34.0,41.0,41.0,41.0,67.0
298ggnKa,2024-06-30,21:00,SOUTH AMERICA - COPA AMÉRICA,Mexico,Ecuador,ROUND 3,2.75,3.2,2.7,2.38,1.57,2.05,1.7,1.44,1.36,1.4,7.5,7.0,12.0,26.0,7.0,6.0,11.0,23.0,12.0,11.0,17.0,41.0,29.0,26.0,41.0,67.0
K4DPGJgf,2024-07-01,13:00,EUROPE - EURO,France,Belgium,PLAY OFFS ,1.91,3.2,4.5,2.3,1.62,2.0,1.73,1.18,1.36,1.83,7.5,11.0,23.0,51.0,6.0,6.5,17.0,41.0,8.5,9.5,19.0,51.0,17.0,19.0,34.0,67.0
6kTAlsLN,2024-07-01,16:00,EUROPE - EURO,Portugal,Slovenia,PLAY OFFS ,1.4,4.5,8.5,2.05,1.85,2.38,1.53,1.08,1.18,2.75,9.0,17.0,41.0,126.0,6.0,9.0,26.0,67.0,6.0,9.5,26.0,67.0,9.0,15.0,41.0,101.0
UwuO8RJn,2024-07-01,22:00,SOUTH AMERICA - COPA AMÉRICA,Bolivia,Panama,ROUND 3,5.5,3.9,1.62,2.1,1.73,2.05,1.7,2.25,1.25,1.14,9.5,6.0,7.0,12.0,12.0,7.5,8.5,15.0,26.0,17.0,21.0,29.0,51.0,41.0,51.0,67.0
zHuK974t,2024-07-01,22:00,SOUTH AMERICA - COPA AMÉRICA,USA,Uruguay,ROUND 3,2.45,3.2,3.0,2.2,1.67,1.91,1.91,1.36,1.36,1.53,8.5,8.5,15.0,29.0,7.5,6.0,11.0,26.0,11.0,10.0,15.0,34.0,23.0,21.0,34.0,51.0
xOGS6Ozh,2024-07-02,13:00,EUROPE - EURO,Romania,Netherlands,PLAY OFFS ,7.5,4.33,1.44,2.08,1.82,2.2,1.62,2.63,1.2,1.1,9.0,6.0,6.5,10.0,15.0,8.5,9.5,15.0,41.0,23.0,23.0,34.0,101.0,67.0,67.0,81.0
xAyfhPLb,2024-07-02,16:00,EUROPE - EURO,Austria,Turkey,PLAY OFFS ,1.85,3.4,4.6,1.99,1.91,1.8,1.91,1.18,1.3,1.91,10.0,13.0,23.0,51.0,8.0,6.5,15.0,41.0,9.5,9.0,15.0,41.0,17.0,17.0,29.0,51.0
4dXz6P35,2024-07-02,22:00,SOUTH AMERICA - COPA AMÉRICA,Brazil,Colombia,ROUND 3,1.9,3.5,4.2,2.2,1.67,2.0,1.75,1.22,1.29,1.91,8.0,9.5,21.0,41.0,6.0,6.5,15.0,41.0,8.0,9.0,19.0,41.0,15.0,17.0,34.0,67.0
StTYFv6T,2024-07-02,22:00,SOUTH AMERICA - COPA AMÉRICA,Costa Rica,Paraguay,ROUND 3,4.0,3.5,1.95,2.3,1.62,2.0,1.75,1.8,1.29,1.22,8.0,6.0,8.5,17.0,9.0,6.5,9.0,17.0,19.0,13.0,19.0,34.0,41.0,34.0,41.0,67.0
