Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
dY6guZgt,17/02/2024,00:00,MEXICO - LIGA MX,Mazatlan FC,Guadalajara Chivas,CLAUSURA ,3.6,3.5,2.05,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,3.4,1.3,6.5,1.11,1.8,1.95,3.45,1.3,1.8,2.05,10.0,7.5,9.5,19.0,11.0,6.5,9.0,17.0,19.0,12.0,15.0,26.0,41.0,29.0,34.0,51.0,251.0
UTPCVzdc,17/02/2024,04:00,HONG KONG - PREMIER LEAGUE,Southern District,Eastern AA,ROUND 12,1.9,3.55,3.6,1.33,3.14,1.01,11.5,1.23,3.4,1.7,1.93,2.57,1.39,5.0,1.14,1.6,2.05,1.85,1.85,,,12.0,11.75,21.0,50.0,8.5,7.0,12.0,30.0,10.0,8.25,13.0,35.0,17.0,14.0,22.0,55.0,350.0
SMbYbZ7C,17/02/2024,04:00,AUSTRALIA - A-LEAGUE,Sydney FC,Adelaide United,ROUND 17,1.67,4.33,4.75,1.18,4.5,1.01,29.0,1.08,8.0,1.3,3.5,1.8,2.0,2.75,1.44,1.36,3.0,1.65,2.2,1.21,4.25,29.0,26.0,34.0,51.0,15.0,10.0,17.0,29.0,13.0,9.5,11.0,26.0,17.0,12.0,15.0,26.0,67.0
jwR8WGti,17/02/2024,04:00,HONG KONG - PREMIER LEAGUE,Tai Po,North District,ROUND 12,1.47,4.1,5.9,1.23,3.7,1.02,13.9,1.14,5.0,1.47,2.35,2.1,1.57,3.3,1.24,1.55,2.15,1.78,1.93,,,16.5,23.0,45.0,120.0,9.25,8.75,18.0,50.0,8.5,8.0,13.5,40.0,11.5,10.75,18.5,45.0,250.0
fVL5chRl,17/02/2024,05:30,INDIA - I-LEAGUE,TRAU FC,Mohammedan,ROUND 15,5.9,4.7,1.42,1.2,4.0,1.01,16.5,1.1,5.4,1.4,2.52,1.98,1.65,3.0,1.28,1.57,2.1,,,,,19.0,10.5,8.75,10.75,23.0,10.0,8.5,10.25,45.0,19.0,15.5,19.0,120.0,50.0,45.0,50.0,300.0
8YFVcgNI,17/02/2024,05:45,AUSTRALIA - A-LEAGUE,Melbourne City,Melbourne Victory,ROUND 17,3.1,3.8,2.15,1.3,3.4,1.03,15.0,1.2,4.5,1.6,2.3,2.5,1.53,4.5,1.2,1.57,2.25,2.85,1.4,1.7,2.1,17.0,10.0,12.0,21.0,12.0,8.0,9.0,15.0,17.0,11.0,13.0,21.0,34.0,21.0,23.0,41.0,126.0
8GdUDkT9,17/02/2024,06:00,BANGLADESH - PREMIER LEAGUE,Abahani Limited,Chittagong Abahani,ROUND 8,1.55,3.5,5.6,1.34,2.99,1.02,9.35,1.23,3.56,1.75,1.9,2.88,1.34,5.4,1.12,1.79,1.98,,,,,10.5,13.0,29.0,90.0,5.9,6.1,14.5,45.0,6.4,6.6,12.5,40.0,9.75,10.0,18.5,50.0,300.0
2wdYC9rG,17/02/2024,06:00,BANGLADESH - PREMIER LEAGUE,Mohammedan,Sheikh Jamal,ROUND 8,1.45,3.85,6.1,1.32,3.1,1.04,9.0,1.21,3.74,1.65,1.98,2.71,1.38,5.1,1.13,1.84,1.92,,,,,11.25,14.0,32.0,90.0,6.2,6.8,16.0,50.0,6.2,6.8,13.5,45.0,8.75,9.5,19.0,55.0,350.0
tUfxCTcM,17/02/2024,06:00,BANGLADESH - PREMIER LEAGUE,Sheikh Russel,Brothers U.,ROUND 8,1.78,3.45,3.9,1.22,3.8,1.01,17.0,1.12,5.2,1.35,2.84,2.12,1.57,3.04,1.31,1.59,2.29,1.72,1.9,,,14.5,14.0,22.0,50.0,9.0,6.5,11.0,25.0,9.5,7.0,9.25,22.0,14.0,10.5,14.0,27.0,120.0
fsbEeOSG,17/02/2024,07:00,BULGARIA - PARVA LIGA,Krumovgrad,Botev Plovdiv,ROUND 21,4.33,3.75,1.83,1.44,2.63,1.06,10.0,1.33,3.25,2.08,1.73,3.75,1.25,8.0,1.08,1.91,1.8,3.9,1.24,2.03,1.83,9.0,6.5,8.0,15.0,10.0,7.0,9.0,15.0,21.0,15.0,19.0,29.0,41.0,34.0,41.0,51.0,351.0
