Id,Date,Time,League,Home,Away,Round,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
MTq2J9uJ,17/09/2024,11:00,ROMANIA - LIGA 2,CSM Resita,Csikszereda M. Ciuc,ROUND 6,2.4,3.1,2.95,2.07,1.7,1.8,1.91
2s8uUvn0,17/09/2024,11:30,ESTONIA - MEISTRILIIGA,Narva,Flora,ROUND 28,4.5,3.65,1.62,1.6,2.05,1.63,2.22
KIIzVKWg,17/09/2024,11:30,ESTONIA - MEISTRILIIGA,Kuressaare,Levadia,ROUND 28,10.0,6.1,1.18,1.53,2.18,1.83,1.93
SONn641S,17/09/2024,13:00,SLOVAKIA - NIKE LIGA,Trencin,Dun. Streda,ROUND 6,3.55,3.5,2.0,1.82,1.95,1.65,2.1
ChFSWt2s,17/09/2024,13:30,ESTONIA - MEISTRILIIGA,Tallinna Kalev,Paide,ROUND 28,7.1,5.0,1.3,1.32,2.78,1.66,2.16
fN51nJWG,17/09/2024,13:45,EUROPE - CHAMPIONS LEAGUE,Juventus,PSV,LEAGUE PHASE ,1.75,3.9,4.33,1.9,2.0,1.8,1.95
xpMC2jvC,17/09/2024,13:45,EUROPE - CHAMPIONS LEAGUE,Young Boys,Aston Villa,LEAGUE PHASE ,4.75,4.2,1.65,1.57,2.38,1.57,2.25
AyPaTn1c,17/09/2024,14:00,SPAIN - LALIGA,Mallorca,Real Sociedad,ROUND 7,2.9,2.75,3.0,3.2,1.36,2.38,1.53
z3YYEmLi,17/09/2024,14:00,TURKEY - SUPER LIG,Galatasaray,Gaziantep,ROUND 3,1.2,7.5,10.0,1.36,3.1,1.91,1.8
CQIwhk2B,17/09/2024,14:30,POLAND - DIVISION 1,LKS Lodz,Wisla,ROUND 1,2.55,3.5,2.45,1.67,2.15,1.57,2.25
KlJVrBhM,17/09/2024,15:00,BELGIUM - JUPILER PRO LEAGUE,Anderlecht,Genk,ROUND 5,2.6,3.7,2.5,1.6,2.3,1.5,2.5
hx4fPjmn,17/09/2024,15:00,PERU - LIGA 1,Sporting Cristal,Deportivo Garcilaso,CLAUSURA ,1.27,6.25,8.0,1.48,2.6,1.83,1.83
pOKq8Lpm,17/09/2024,15:00,NETHERLANDS - EREDIVISIE,Twente,Heerenveen,ROUND 3,1.33,6.5,7.5,1.4,2.88,1.7,2.05
nwQ9GBLU,17/09/2024,15:00,NETHERLANDS - EERSTE DIVISIE,FC Volendam,Dordrecht,ROUND 5,1.85,4.2,3.5,1.36,3.1,1.36,3.0
0ptQI12b,17/09/2024,15:00,NETHERLANDS - EERSTE DIVISIE,Jong Ajax,Jong AZ,ROUND 5,1.95,4.1,3.3,1.36,3.1,1.33,3.25
8UiJFB8j,17/09/2024,15:30,AUSTRIA - 2. LIGA,Admira,SK Rapid (Am),ROUND 5,2.18,3.6,2.87,1.6,2.2,1.52,2.37
Uu2rvvNU,17/09/2024,15:45,SCOTLAND - LEAGUE TWO,Elgin City,Spartans,ROUND 3,2.45,3.0,2.8,2.05,1.75,1.8,1.91
ENGmFOUA,17/09/2024,15:45,NORTHERN IRELAND - NIFL PREMIERSHIP,Portadown,Coleraine,ROUND 8,3.45,3.8,1.9,1.7,2.07,1.65,2.12
KONvHp0b,17/09/2024,15:45,NORTHERN IRELAND - NIFL PREMIERSHIP,Glentoran,Loughgall,ROUND 8,1.34,5.1,7.1,1.47,2.52,1.75,1.98
CbKWI6Vo,17/09/2024,15:45,NORTHERN IRELAND - NIFL PREMIERSHIP,Glenavon,Larne,ROUND 8,6.8,4.4,1.42,1.8,1.95,2.05,1.7
CEdCMOMU,17/09/2024,15:45,NORTHERN IRELAND - NIFL PREMIERSHIP,Dungannon,Crusaders,ROUND 8,3.0,3.35,2.22,1.87,1.87,1.7,2.05
pnw3Q6N5,17/09/2024,15:45,NORTHERN IRELAND - NIFL PREMIERSHIP,Carrick Rangers,Ballymena,ROUND 8,2.25,3.5,2.85,1.8,1.93,1.65,2.1
4lg4OphI,17/09/2024,15:45,NORTHERN IRELAND - NIFL PREMIERSHIP,Cliftonville,Linfield,ROUND 8,3.4,3.55,1.98,1.82,1.93,1.7,2.02
2ZLJz7FE,17/09/2024,16:00,EUROPE - CHAMPIONS LEAGUE,Real Madrid,Stuttgart,LEAGUE PHASE ,1.3,6.25,8.0,1.36,3.2,1.57,2.25
K64H9nUs,17/09/2024,16:00,EUROPE - CHAMPIONS LEAGUE,Sporting CP,Lille,LEAGUE PHASE ,1.5,4.33,6.0,1.73,2.1,1.8,1.95
WW2NipYF,17/09/2024,16:00,EUROPE - CHAMPIONS LEAGUE,Bayern Munich,D. Zagreb,LEAGUE PHASE ,1.13,10.0,17.0,1.29,3.75,2.0,1.75
OQ7EPt7D,17/09/2024,16:00,EUROPE - CHAMPIONS LEAGUE,AC Milan,Liverpool,LEAGUE PHASE ,3.6,3.8,1.95,1.53,2.5,1.5,2.5
dzpKJnHN,17/09/2024,17:15,PERU - LIGA 1,AD Tarma,Cusco,CLAUSURA ,2.0,3.4,3.6,1.93,1.93,1.73,2.0
YXOBLcbJ,17/09/2024,18:30,PARAGUAY - PRIMERA DIVISION,Ameliano,Sol de America,CLAUSURA ,2.2,2.9,3.4,2.5,1.5,2.1,1.67
veH65cMp,17/09/2024,19:00,BRAZIL - SERIE B,Novorizontino,Brusque,ROUND 27,1.55,3.6,7.0,2.5,1.5,2.63,1.44
GdldT9HP,17/09/2024,21:00,PARAGUAY - PRIMERA DIVISION,2 de Mayo,General Caballero JLM,CLAUSURA ,1.85,3.2,4.0,2.2,1.65,1.91,1.8
0v7d92aJ,17/09/2024,21:30,SOUTH AMERICA - COPA LIBERTADORES,Colo Colo (Chi),River Plate (Arg),PLAY OFFS ,3.1,3.2,2.38,2.4,1.53,2.1,1.67
jalhZLb6,17/09/2024,21:30,SOUTH AMERICA - COPA SUDAMERICANA,Fortaleza (Bra),Corinthians (Bra),PLAY OFFS ,2.0,3.3,4.0,2.7,1.44,2.38,1.53
rPVzBJbN,17/09/2024,21:30,BRAZIL - SERIE B,Guarani,Mirassol,ROUND 27,2.35,2.9,3.4,2.88,1.4,2.38,1.53
