League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Egypt Egyptian Premier League,2024-02-20,11:00:00,13,Ceramica Cleopatra,El Gounah,2.5,2.1,4.33,1.82,3.3,4.1,1.44,2.65,1.03,8.0,1.33,2.91,2.08,1.66,1.83,1.83,1.18,1.26,1.91,2.0,1.67,1.69,1.5,3.19,1.5,9.0,2.94,1.29,3.2,1.55,2.41,1.92,1.88,2.45,1.53,3.1,1.32
Slovenia PrvaLiga,2024-02-20,13:30:00,22,Radomlje,Aluminij,2.56,2.26,4.27,1.99,3.4,3.5,1.36,3.05,1.02,9.2,1.26,3.34,1.85,1.87,1.73,1.94,1.25,1.26,1.77,0.5,1.18,1.6,1.19,2.79,1.59,8.2,2.72,1.23,3.52,1.4,2.55,1.77,2.01,2.21,1.63,2.94,1.33
Egypt Egyptian Premier League,2024-02-20,14:00:00,13,El Daklyeh FC,Pharco,3.75,1.83,3.25,3.0,2.75,2.5,1.58,2.36,1.12,5.97,1.5,2.38,2.75,1.4,2.25,1.57,1.47,1.35,1.36,1.0,0.67,0.96,1.45,2.41,2.42,7.4,1.85,1.39,2.8,1.66,2.1,2.1,1.66,2.65,1.42,3.6,1.24
Egypt Egyptian Premier League,2024-02-20,14:00:00,13,Al Masry,Baladiyyat Al Mehalla,2.3,2.05,5.0,1.8,3.25,4.33,1.45,2.63,1.04,7.8,1.4,2.89,2.15,1.67,1.91,1.8,1.11,1.24,2.2,2.17,1.0,1.35,1.48,2.83,1.49,7.7,3.45,1.37,2.85,1.63,2.14,2.04,1.69,2.6,1.43,3.5,1.25
England Premier League,2024-02-20,16:30:00,18,Manchester City,Brentford,1.62,2.88,9.0,1.11,6.9,12.0,1.22,4.0,1.02,26.0,1.12,6.25,1.4,2.65,1.95,1.8,1.05,1.1,4.35,2.38,0.83,1.71,1.33,3.04,1.22,11.5,5.6,1.17,4.25,1.3,2.95,1.55,2.23,1.9,1.79,2.38,1.48
England Championship,2024-02-20,16:45:00,29,Southampton,Hull City,2.05,2.5,5.5,1.39,4.25,5.5,1.3,3.5,1.02,17.0,1.19,4.75,1.6,2.33,1.68,2.15,1.14,1.17,2.55,2.19,1.71,1.81,1.27,3.08,1.26,10.0,4.64,1.16,4.2,1.32,2.87,1.58,2.15,1.98,1.73,2.53,1.43
England Championship,2024-02-20,16:45:00,29,Plymouth Argyle,West Bromwich Albion,4.0,2.25,2.6,3.75,3.5,1.72,1.36,3.2,1.04,13.0,1.26,4.0,1.67,2.07,1.68,2.15,1.87,1.25,1.3,1.65,1.19,1.57,1.08,2.65,2.66,8.5,1.64,1.11,5.07,1.24,3.34,1.53,2.49,1.83,1.98,2.24,1.64
England Championship,2024-02-20,16:45:00,29,Ipswich Town,Rotherham United,1.7,2.65,9.0,1.17,5.4,10.5,1.3,3.5,1.03,15.0,1.2,4.5,1.58,2.22,2.2,1.66,1.01,1.1,4.0,2.31,0.25,1.79,0.86,2.65,1.08,13.0,9.5,1.12,5.2,1.26,3.34,1.49,2.57,1.8,1.89,2.23,1.54
England Championship,2024-02-20,16:45:00,29,Cardiff City,Blackburn Rovers,3.14,2.29,3.53,2.46,3.1,2.46,1.39,3.14,1.05,12.5,1.27,3.85,1.82,1.88,1.67,2.1,1.32,1.33,1.52,1.31,1.06,1.25,1.24,2.49,1.75,8.5,2.43,1.16,4.33,1.33,2.93,1.68,2.19,2.0,1.8,2.58,1.44
England EFL League One,2024-02-20,16:45:00,29,Oxford United,Northampton Town,2.38,2.2,5.0,1.7,3.4,4.0,1.4,2.75,1.04,12.0,1.3,3.5,1.79,1.91,1.95,1.8,1.2,1.22,2.1,1.76,1.06,1.45,1.09,2.54,1.57,9.1,2.95,1.29,3.1,1.55,2.2,1.98,1.7,2.65,1.39,3.75,1.22
