id,league_id,league,utc_time,date,time,home,away,ft_ml_h_opening,ft_ml_d_opening,ft_ml_a_opening,ft_ml_h_closing,ft_ml_d_closing,ft_ml_a_closing,ft_ah_handicap_opening,ft_ah_h_opening,ft_ah_a_opening,ft_ah_handicap_closing,ft_ah_h_closing,ft_ah_a_closing,ft_ou_handicap_opening,ft_ou_o_opening,ft_ou_u_opening,ft_ou_handicap_closing,ft_ou_o_closing,ft_ou_u_closing
8403548,1271,China FA Cup,1721217600,2024-07-17,09:00,Shenzhen Xinpengcheng,Shanghai Shenhua,5.0,3.8,1.533,3.6,3.4,2.0,1.0,1.9,1.9,0.5,1.85,1.95,2.5,1.95,1.85,2.25,1.775,2.025
8508757,6929,Kyrgyzstan Cup,1721217600,2024-07-17,09:00,FC Talant,Muras United FC,2.5,3.2,2.5,2.5,3.2,2.5,0.0,1.9,1.9,0.0,1.9,1.9,2.75,1.825,1.975,2.75,1.825,1.975
8508824,717,Malawi Super League,1721219400,2024-07-17,09:30,Big Bullets,FOMO FC,1.533,3.4,6.0,1.615,3.8,4.2,-1.5,1.975,1.825,-0.75,1.825,1.975,2.25,1.85,1.95,2.25,1.85,1.95
8512869,717,Malawi Super League,1721219400,2024-07-17,09:30,Creck SC,Civil Service Utd,2.35,3.0,2.875,2.35,3.0,2.875,-0.25,2.05,1.75,-0.25,2.05,1.75,2.0,1.775,2.025,2.0,1.775,2.025
8512676,32625,Womens Friendly,1721221200,2024-07-17,10:00,Czarni Sosnowiec Women,Rekord BielskoBiala Women,1.2,6.5,9.0,1.2,6.5,9.0,-2.0,1.9,1.9,-2.0,1.9,1.9,3.5,1.825,1.975,3.75,1.825,1.975
8506255,14821,Colombia Regional League,1721222272,2024-07-17,10:17,Envigado FC Reserves,Soccer Law,2.55,3.6,2.25,2.55,3.6,2.25,0.25,1.75,2.05,0.0,2.025,1.775,2.75,1.95,1.85,2.75,1.95,1.85
8508826,37533,Argentina Nacional Reserve League,1721223000,2024-07-17,10:30,Defensores de Belgrano Reserves,Temperley Reserves,1.727,3.75,3.75,1.727,3.75,3.8,-0.5,1.75,2.05,-0.5,1.75,2.05,2.25,1.8,2.0,2.25,1.8,2.0
8507006,375,World Club Friendlies,1721224800,2024-07-17,11:00,FC Volendam,AlShamal SC,1.727,4.0,3.5,1.727,4.0,3.5,-0.5,1.775,2.025,-0.5,1.775,2.025,3.0,1.775,2.025,3.0,1.775,2.025
8499048,363,Europe Friendlies,1721224800,2024-07-17,11:00,Amiens,Francs Borains,1.4,4.5,5.5,1.533,4.5,4.2,-1.0,1.95,1.85,-1.0,1.95,1.85,2.75,1.825,1.975,2.75,1.825,1.975
8391242,363,Europe Friendlies,1721224800,2024-07-17,11:00,Austria Klagenfurt,Leoben DSV,1.571,4.0,4.333,1.363,4.75,6.0,-1.0,1.975,1.825,-1.5,1.95,1.85,3.5,1.875,1.925,3.75,1.825,1.975
8508827,37533,Argentina Nacional Reserve League,1721226600,2024-07-17,11:30,Ferro Carril Oeste Reserves,CA Brown de Adrogue Reserves,1.8,3.6,3.6,1.666,3.75,4.0,-0.75,1.9,1.9,-0.75,1.9,1.9,2.5,1.85,1.95,2.5,1.85,1.95
8511791,363,Europe Friendlies,1721226600,2024-07-17,11:30,Smederevo,OFK Petrovac,1.9,3.25,3.5,1.9,3.25,3.5,-0.5,1.975,1.825,-0.5,1.975,1.825,2.5,1.8,2.0,2.5,1.8,2.0
8511003,363,Europe Friendlies,1721228400,2024-07-17,12:00,Siarka Tarnobrzeg,AKS 1947 BuskoZdroj,1.363,4.75,6.0,1.3,5.25,6.5,-1.5,1.975,1.825,-1.5,1.825,1.975,3.5,1.9,1.9,3.5,1.825,1.975
8508828,37533,Argentina Nacional Reserve League,1721228400,2024-07-17,12:00,Deportivo Camioneros Reserves,Talleres Remedios Reserves,4.75,3.75,1.571,4.75,3.75,1.571,1.0,1.775,2.025,1.0,1.775,2.025,2.5,2.0,1.8,2.5,2.0,1.8
8506256,14821,Colombia Regional League,1721228400,2024-07-17,12:00,Atletico Nacional Medellin Reserves,FC Leones Reserves,2.0,3.6,3.0,2.0,3.6,3.0,-0.25,1.8,2.0,-0.25,1.8,2.0,2.75,1.825,1.975,2.75,1.825,1.975
8498134,375,World Club Friendlies,1721228400,2024-07-17,12:00,Dynamo Kiev,Mamelodi Sundowns,1.6,3.8,4.5,1.95,3.4,3.25,-0.75,1.8,2.0,-0.5,2.0,1.8,2.5,1.8,2.0,2.5,1.925,1.875
8512695,363,Europe Friendlies,1721228400,2024-07-17,12:00,FK Hodonin,OFK Malzenice,3.75,4.333,1.615,3.25,4.2,1.75,0.75,1.975,1.825,0.75,1.775,2.025,3.0,1.925,1.875,3.0,1.925,1.875
8373485,5708,UEFA Champions League Qualifying,1721228400,2024-07-17,12:00,FC Struga Trim  Lum,Slovan Bratislava,4.2,3.6,1.8,3.6,3.5,1.95,0.5,1.975,1.875,0.5,1.825,2.025,3.0,2.05,1.8,2.75,1.825,2.025
8497656,363,Europe Friendlies,1721228400,2024-07-17,12:00,Hartberg,FC Flyeralarm Admira,1.285,6.0,6.0,1.363,5.5,5.0,-1.75,1.9,1.9,-1.5,1.95,1.85,3.75,1.85,1.95,3.75,1.95,1.85
8442546,33814,Mexico U23 League,1721228400,2024-07-17,12:00,Toluca U23,Mazatlan FC U23,2.0,3.25,3.25,1.95,3.2,3.5,-0.5,2.0,1.8,-0.5,2.0,1.8,2.75,1.9,1.9,2.5,1.8,2.0
8442544,33814,Mexico U23 League,1721228400,2024-07-17,12:00,Necaxa U23,Monterrey U23,1.909,3.5,3.25,1.9,3.5,3.3,-0.5,1.95,1.85,-0.5,1.95,1.85,2.75,1.85,1.95,2.75,1.825,1.975
8513538,363,Europe Friendlies,1721230200,2024-07-17,12:30,Pelister Bitola,FK Sileks,3.0,3.25,2.1,3.0,3.25,2.1,0.25,1.9,1.9,0.25,1.9,1.9,2.75,1.95,1.85,2.75,1.95,1.85
8512694,363,Europe Friendlies,1721230200,2024-07-17,12:30,NK Bistrica,Vardar Skopje,3.3,3.8,1.833,3.3,3.8,1.833,0.5,1.925,1.875,0.5,1.925,1.875,2.75,1.825,1.975,2.75,1.825,1.975
8512147,363,Europe Friendlies,1721230200,2024-07-17,12:30,FC Rukh Lviv,Sabah,2.1,3.75,2.75,3.4,3.9,1.8,-0.25,1.925,1.875,0.5,1.975,1.825,3.0,1.975,1.825,3.0,2.0,1.8
