IDMercado,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
1.215299463,Japanese J League 2,2023-06-24,02:00:00,Blaublitz Akita,Fujieda MYFC,2.34,3.2,3.35,2.14,1.75,1.79,1.98,1.01,1.01,1.01,1.01,1.01,8.4,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215178798,Japanese J League,2023-06-24,02:00:00,Sapporo,C-Osaka,1.98,4.1,3.8,1.65,2.36,1.6,2.46,23.0,21.0,36.0,1.01,14.5,10.5,1.01,46.0,16.5,12.0,1.01,1.01,27.0,21.0,1.01,1.01,11.0,32.0
1.215192211,South Korean K League 2,2023-06-24,04:00:00,Busan IPark,Cheongju FC,1.54,3.8,5.5,2.02,1.8,1.01,1.01,14.0,1.01,1.01,1.01,7.6,1.01,1.01,1.01,10.0,10.5,1.01,1.01,1.01,21.0,48.0,1.01,12.0,1.01
1.215191580,South Korean K League 1,2023-06-24,04:30:00,Suwon Bluewings,FC Seoul,1.8,3.4,2.06,2.06,1.78,1.9,1.99,1.01,1.01,1.01,1.01,1.01,9.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215301261,Japanese J League 2,2023-06-24,06:00:00,Kofu,Okayama,2.18,2.98,3.15,2.2,1.6,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215301703,Japanese J League 2,2023-06-24,06:00:00,Mito,FC Machida,3.85,3.55,1.86,2.14,1.73,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215301794,Japanese J League 2,2023-06-24,06:00:00,Omiya,Iwaki SC,2.06,3.05,2.88,1.97,1.95,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215191400,South Korean K League 1,2023-06-24,06:00:00,Jeju Utd,Daejeon Citizen,2.06,1.01,1.04,1.76,2.1,1.64,1.01,1.01,1.01,1.01,1.01,1.01,10.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215309714,Japanese J League 2,2023-06-24,06:00:00,Tochigi SC,Renofa Yamaguchi,2.18,2.9,3.35,2.74,1.51,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215192031,South Korean K League 2,2023-06-24,06:30:00,Seongnam FC,Bucheon FC 1995,2.5,3.1,2.84,2.04,1.75,1.01,1.01,12.0,11.5,1.01,1.01,10.5,8.2,15.0,1.01,18.0,14.0,1.01,1.01,1.01,1.01,1.01,1.01,32.0,36.0
