IDMercado_MO,IDMercado_OU,IDMercado_BTTS,IDMercado_CS,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
1.216515319,1.216515364,1.216515403,1.216515328,Romanian Liga II,2023-08-05,05:00:00,CS Tunari,CSM Slatina,2.64,3.15,2.78,2.1,1.8,1.82,2.02,990.0,990.0,23.0,1.01,990.0,990.0,990.0,1.01,990.0,990.0,22.0,1.01,1.01,38.0,1.01,1.01,32.0,1.01
1.216566483,1.216566528,1.216566567,1.216566492,Romanian Liga II,2023-08-05,05:00:00,FC Unirea Dej,FCM Alexandria,1.89,3.45,4.0,2.08,1.85,1.84,1.98,15.0,990.0,36.0,110.0,9.8,9.4,990.0,70.0,13.5,12.0,24.0,85.0,29.0,26.0,48.0,150.0,990.0,85.0
1.216515589,1.216515634,1.216515673,1.216515598,Romanian Liga II,2023-08-05,05:00:00,CSM Scolar Resita,Unirea Slobozia,2.88,3.2,2.56,2.1,1.84,1.79,2.02,990.0,990.0,1.01,1.01,990.0,990.0,1.01,1.01,1.01,990.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.216515499,1.216515544,1.216515583,1.216515508,Romanian Liga II,2023-08-05,05:00:00,Csikszereda,Concordia Chiajna,2.18,3.3,3.35,2.06,1.86,1.83,2.0,13.5,13.5,24.0,65.0,10.5,8.2,15.5,44.0,15.0,12.0,19.0,60.0,30.0,27.0,44.0,1.01,21.0,46.0
1.216515409,1.216515454,1.216515493,1.216515418,Romanian Liga II,2023-08-05,05:00:00,FC Metaloglobus Bucuresti,CSC 1599 Selimbar,2.02,3.3,4.1,2.32,1.7,1.99,1.85,11.5,14.5,34.0,110.0,8.6,8.6,20.0,70.0,12.5,12.5,25.0,90.0,27.0,27.0,55.0,1.01,22.0,90.0
1.216566393,1.216566438,1.216566477,1.216566402,Romanian Liga II,2023-08-05,05:00:00,ACS Viitorul Tg Jiu,Arges Pitesti,5.2,3.9,1.67,1.83,1.98,1.86,1.97,21.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.216719289,1.216719334,1.216719373,1.216719298,Chinese League 2,2023-08-05,05:30:00,Guangxi Lanhang,Chongqing Tonglianglong,4.1,3.25,1.91,2.32,1.62,1.97,1.75,12.0,8.2,12.0,25.0,14.5,8.4,12.0,28.0,36.0,21.0,27.0,1.01,1.01,1.01,1.01,1.01,1.01,22.0
1.216719813,1.216719858,1.216719897,1.216719822,Estonian Esiliiga,2023-08-05,06:00:00,Tallinna JK Legion,Flora Tallinn II,8.4,6.0,1.34,1.32,3.65,1.6,2.34,55.0,18.5,13.0,14.0,55.0,17.5,13.0,13.5,1.01,36.0,24.0,27.0,1.01,1.01,1.01,1.01,1.01,3.6
1.216722590,1.216722635,1.216722674,1.216722599,Estonian Esiliiga,2023-08-05,06:30:00,Nomme Utd,Levadia Tallinn II,1.31,6.0,8.2,1.33,3.25,1.62,2.44,50.0,55.0,100.0,1.01,19.0,18.5,38.0,110.0,12.5,14.0,27.0,80.0,15.5,14.0,29.0,85.0,3.7,75.0
1.216722230,1.216722276,1.216722326,1.216722239,Chinese League 2,2023-08-05,06:30:00,Shaoxing Shangyu Pterosaur,Quanzhou Yaxin,2.22,3.3,3.05,1.95,1.89,1.76,2.06,15.5,14.0,24.0,60.0,12.0,9.2,15.5,40.0,16.5,13.0,21.0,55.0,34.0,28.0,1.01,1.01,21.0,38.0
1.216722410,1.216722455,1.216722494,1.216722419,Chinese League 2,2023-08-05,06:30:00,Hunan Billows FC,Jiangxi Dark Horse Junior,2.62,2.98,2.68,1.32,1.29,1.74,1.98,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.216348102,1.216348147,1.216348186,1.216348111,Japanese J League,2023-08-05,07:00:00,Shonan,Hiroshima,3.9,3.9,1.98,1.83,2.1,1.73,2.26,17.5,11.0,13.5,24.0,17.0,9.4,11.0,21.0,32.0,17.0,19.0,36.0,80.0,48.0,55.0,95.0,44.0,13.0
1.216503835,1.216503880,1.216503919,1.216503844,South Korean K League 1,2023-08-05,07:00:00,Suwon Bluewings,Suwon FC,2.1,3.65,3.6,1.83,2.12,1.7,2.26,16.0,17.5,30.0,75.0,11.0,9.0,17.0,44.0,14.5,11.0,19.0,55.0,29.0,24.0,38.0,95.0,15.0,40.0
1.216348192,1.216348237,1.216348276,1.216348201,Japanese J League,2023-08-05,07:00:00,Nagoya,Albirex Niigata,1.88,3.7,4.7,2.02,1.9,1.95,2.0,13.5,16.5,36.0,110.0,9.0,8.8,19.5,65.0,11.5,11.0,22.0,75.0,22.0,22.0,42.0,130.0,14.5,75.0
1.216538016,1.216538061,1.216538100,1.216538025,Japanese J League 2,2023-08-05,07:00:00,Fujieda MYFC,Yamagata,2.84,4.1,2.32,1.54,2.54,1.6,2.6,28.0,16.0,22.0,38.0,21.0,10.5,12.5,26.0,28.0,16.0,16.5,34.0,55.0,29.0,38.0,70.0,18.5,13.0
