ID_Evento,IDMercado,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
32703630,1.219500492,Mexican Liga MX,2023-10-30,00:00:00,Tijuana,Atlas,2.3,3.35,3.5,2.2,1.8,1.9,2.02,12.0,14.5,27.0,75.0,11.0,8.6,17.5,55.0,16.5,13.5,23.0,70.0,36.0,32.0,55.0,150.0,26.0,60.0
32756689,1.220417163,Indonesian Liga 1,2023-10-30,05:00:00,RANS Nusantara FC,PSM Makassar,2.14,3.2,3.95,2.2,1.63,1.98,1.83,11.0,980.0,980.0,980.0,8.6,8.4,980.0,980.0,980.0,12.5,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0
32759538,1.220478171,Bhutan Premier League,2023-10-30,06:00:00,Ugyen Academy,Tensung FC,1.42,4.1,1.37,1.02,3.0,1.01,1.01,50.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32759536,1.220477973,UEFA Women's U19 Euro Championship,2023-10-30,07:00:00,Scotland U19 (W),Belarus U19 (W),1.62,3.95,4.9,1.62,2.2,1.72,2.0,30.0,25.0,1.01,1.01,12.5,12.0,24.0,1.01,12.5,12.0,21.0,1.01,16.0,18.0,36.0,1.01,55.0,1.01
32757383,1.220436502,UEFA Women's U19 Euro Championship,2023-10-30,07:00:00,Serbia U19 (W),Iceland U19 (W),2.8,3.5,2.3,1.7,1.93,1.62,2.14,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,1.01,980.0,980.0
32757408,1.220436294,UEFA Women's U19 Euro Championship,2023-10-30,08:00:00,North Macedonia U19 (W),Ukraine U19 (W),3.85,3.4,1.9,1.82,1.79,1.7,2.02,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,1.01,980.0,980.0,1.01,980.0,980.0
32757263,1.220434109,Indonesian Liga 1,2023-10-30,09:00:00,Bali Utd Pusam,Persita Tangerang,1.56,4.4,5.3,1.64,2.26,1.73,2.12,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,980.0,980.0,980.0,980.0,980.0,980.0,980.0,1.01,55.0,980.0
32757399,1.220436412,UEFA Women's U19 Euro Championship,2023-10-30,09:00:00,England U19 (W),Czech Republic U19 (W),1.21,5.8,13.5,1.46,2.66,1.95,1.7,980.0,980.0,1.01,1.01,980.0,980.0,1.01,1.01,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,4.6,1.01
32757257,1.220433879,Saudi 1st Division,2023-10-30,09:10:00,Al-Batin,Al Bukayriyah,1.01,1.01,1.01,1.01,1.02,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32757403,1.220435542,Egyptian 2nd Division,2023-10-30,09:30:00,Asyut Petroleum,Gomhoryet Shebin,1.96,2.74,4.8,1.01,1.2,1.01,1.54,1.01,1.01,1.01,1.01,980.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32757409,1.220436172,UEFA Women's U19 Euro Championship,2023-10-30,09:30:00,Estonia U19 (W),Bosnia-Herzegovina U19 (W),3.7,4.3,1.1,1.01,2.1,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32758582,1.220461576,English U21 Pro Development League,2023-10-30,10:00:00,Wigan Athletic U21,Barnsley U21,1.25,4.0,1.82,1.01,1.05,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32757306,1.220433929,Bosnian Premier League,2023-10-30,10:00:00,Tuzla City,Gosk Gabela,1.83,3.5,4.0,1.86,1.91,1.78,2.02,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,980.0,980.0,1.01,1.01,980.0,1.01
32757312,1.220434019,English U21 Pro Development League,2023-10-30,10:00:00,Queens Park Rangers U21,Cardiff City U21,1.41,5.7,5.8,1.23,4.5,1.4,3.0,1.01,980.0,1.01,1.01,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,3.35,980.0
32746785,1.220241224,Croatian 2 HNL,2023-10-30,10:00:00,NK Jarun,Zrinski Jurjevac,2.62,3.25,2.52,1.85,1.86,1.71,2.1,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,1.01,980.0,980.0
32757309,1.220433794,Tanzanian Premier League,2023-10-30,10:00:00,JKT Tanzania,Dodoma FC,2.14,2.88,3.5,2.42,1.51,2.02,1.72,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,980.0,980.0,1.01,1.01,980.0,1.01
32757310,1.220433704,Tanzanian Premier League,2023-10-30,10:00:00,Tanzania Prisons,Geita Gold FC,2.24,2.94,3.3,2.16,1.56,1.87,1.74,980.0,980.0,980.0,1.01,980.0,980.0,980.0,980.0,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,980.0,1.01
32744320,1.220190975,Romanian Liga II,2023-10-30,10:30:00,CSM Slatina,Unirea Slobozia,1.73,2.74,1.42,1.09,1.05,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32757355,1.220435722,English U21 Pro Development League,2023-10-30,10:30:00,Millwall U21,Bournemouth U21,2.04,4.5,2.8,1.33,3.4,1.4,3.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0
32757357,1.220435632,English U21 Pro Development League,2023-10-30,11:00:00,Swansea U21,Charlton U21,1.39,6.2,6.0,1.1,2.62,1.43,2.92,980.0,980.0,1.01,1.01,980.0,980.0,980.0,1.01,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,3.05,980.0
32742242,1.220155919,Egyptian Premier,2023-10-30,11:00:00,El Daklyeh,Ismaily,4.5,3.35,1.94,2.18,1.65,1.96,1.77,11.5,8.2,12.0,980.0,15.5,8.8,12.0,980.0,980.0,22.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,21.0
32757411,1.220437105,Saudi 1st Division,2023-10-30,12:00:00,Al-Arabi Al-Saudi,Al-Adalh,1.01,1.03,1.01,1.01,1.02,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32758476,1.220460751,Norwegian 2nd Division,2023-10-30,12:00:00,Junkeren,Stromsgodset II,1.69,4.2,3.9,1.36,3.0,1.47,2.6,980.0,980.0,1.01,1.01,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,1.01,980.0,980.0
32757410,1.220473647,Armenian Premier League,2023-10-30,12:00:00,FC Urartu,FC Shirak,1.3,5.5,10.0,1.65,2.24,2.1,1.74,980.0,980.0,1.01,1.01,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,15.0,1.01
32758051,1.220466193,Azerbaijan Premier League,2023-10-30,12:00:00,Araz Nakhchivan PFK,Qarabag FK,5.6,3.45,1.5,1.81,1.79,1.96,1.74,1.01,980.0,980.0,1.01,1.01,980.0,980.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,980.0
