Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,AH_Neg05_H,AH_Pos05_A,AH_Pos05_H,AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
pAkR2Feo,03/08/2023,05:00,INDONESIA - LIGA 1,PSM Makassar,Persik Kediri,ROUND 6,1.48,4.25,5.92,1.01,12.0,1.19,3.98,1.69,2.14,2.6,1.41,4.65,1.14,1.77,2.0,,,,,12.0,15.0,31.0,67.0,6.5,7.0,15.0,51.0,6.5,6.5,13.0,56.0,9.0,9.5,17.0,61.0,67.0
fgzzKtMp,03/08/2023,08:35,CHINA - SUPER LEAGUE,Shanghai Port,Tianjin Jinmen Tiger,ROUND 20,1.29,5.5,11.0,1.04,13.0,1.2,4.33,1.65,2.2,2.63,1.44,4.5,1.18,2.05,1.7,1.28,3.55,,,13.0,21.0,41.0,126.0,7.5,10.0,26.0,67.0,6.0,9.0,23.0,51.0,8.0,11.0,29.0,67.0,451.0
A3NYx1QM,03/08/2023,08:45,SINGAPORE - PREMIER LEAGUE,Geylang,Albirex Niigata,-,6.5,6.0,1.25,1.01,34.0,1.06,10.0,1.25,4.0,1.62,2.2,2.38,1.53,1.5,2.5,,,3.45,1.3,34.0,15.0,11.0,11.0,29.0,15.0,10.0,10.0,41.0,21.0,19.0,17.0,81.0,41.0,34.0,41.0,101.0
SYEBAREi,03/08/2023,09:00,INDONESIA - LIGA 1,Persib Bandung,Bali United,ROUND 6,2.23,3.84,2.7,1.01,15.0,1.09,5.7,1.38,2.71,2.03,1.77,3.14,1.29,1.36,3.03,,,,,15.0,13.0,15.0,26.0,12.0,7.0,9.0,15.0,13.0,8.5,8.5,15.0,21.0,13.0,13.0,21.0,67.0
lrG7B7ao,03/08/2023,09:00,INDONESIA - LIGA 1,Persita,FC Bhayangkara,ROUND 6,1.69,3.84,4.44,10.5,1.01,1.21,3.74,1.75,2.05,2.75,1.37,5.0,1.12,1.69,2.11,,,,,11.0,12.0,21.0,51.0,7.0,6.5,12.0,26.0,8.0,7.0,11.0,36.0,12.0,12.0,17.0,51.0,67.0
phYoc1zN,03/08/2023,12:55,SERBIA - SUPER LIGA,Radnicki Nis,TSC,ROUND 2,2.94,3.13,2.45,1.04,7.7,1.32,2.98,2.07,1.75,3.48,1.24,6.65,1.06,1.77,2.0,,,,,9.0,8.0,11.0,23.0,9.0,6.0,9.0,19.0,14.0,10.0,12.0,26.0,31.0,23.0,34.0,61.0,201.0
GA5WORR5,03/08/2023,19:00,SOUTH AMERICA - COPA SUDAMERICANA,San Lorenzo (Arg),Sao Paulo (Bra),PLAY OFFS ,2.38,2.9,2.88,1.13,6.0,1.62,2.2,2.88,1.4,6.0,1.13,15.0,1.03,2.38,1.53,2.38,1.55,1.4,2.85,6.0,6.5,13.0,34.0,5.5,6.5,12.0,34.0,10.0,11.0,23.0,51.0,23.0,26.0,41.0,101.0,201.0
MTZP5Zzk,03/08/2023,21:00,SOUTH AMERICA - COPA LIBERTADORES,Atl. Nacional (Col),Racing Club (Arg),PLAY OFFS ,2.3,3.1,3.2,1.08,8.0,1.4,2.75,2.3,1.6,4.33,1.2,10.0,1.06,1.95,1.8,2.25,1.63,1.35,3.1,7.5,8.5,15.0,34.0,6.5,6.0,12.0,29.0,10.0,9.5,17.0,41.0,21.0,21.0,34.0,51.0,401.0
QNHiKYkr,03/08/2023,21:00,SOUTH AMERICA - COPA LIBERTADORES,Flamengo RJ (Bra),Olimpia Asuncion (Par),PLAY OFFS ,1.2,6.5,11.0,1.03,17.0,1.14,5.5,1.5,2.5,2.25,1.57,3.75,1.25,2.1,1.67,1.21,4.25,,,17.0,26.0,51.0,151.0,8.0,13.0,29.0,81.0,6.5,9.5,26.0,67.0,7.0,11.0,29.0,81.0,451.0
SQYvx9yg,03/08/2023,21:00,SOUTH AMERICA - COPA SUDAMERICANA,America MG (Bra),Bragantino (Bra),PLAY OFFS ,2.88,3.1,2.63,1.08,8.0,1.36,3.0,2.2,1.65,4.0,1.22,9.0,1.07,1.83,1.83,2.75,1.43,1.5,2.5,8.0,8.0,12.0,26.0,8.0,6.0,10.0,23.0,13.0,11.0,15.0,34.0,29.0,23.0,34.0,51.0,301.0
zw13FSNg,03/08/2023,21:00,SOUTH AMERICA - COPA SUDAMERICANA,Nublense (Chi),LDU Quito (Ecu),PLAY OFFS ,2.8,3.4,2.5,1.07,8.5,1.36,3.0,2.15,1.67,4.0,1.22,9.0,1.07,1.91,1.8,2.6,1.48,1.53,2.43,8.5,7.5,11.0,23.0,7.5,6.5,10.0,21.0,12.0,11.0,17.0,34.0,29.0,23.0,34.0,51.0,351.0
pQ93JiNN,03/08/2023,22:05,MEXICO - LIGA DE EXPANSION MX,Leones Negros,Alebrijes Oaxaca,APERTURA ,2.01,3.54,3.45,1.01,9.8,1.24,3.48,1.84,1.96,2.93,1.33,5.45,1.1,1.67,2.15,,,,,8.5,9.0,14.0,34.0,6.5,5.5,9.5,21.0,8.5,7.0,10.0,26.0,15.0,13.0,20.0,41.0,201.0
