Id,Date,Time,League,Home,Away,Round,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
04vDhV05,23/03/2024,09:30,ENGLAND - LEAGUE TWO,Mansfield,Colchester,ROUND 40,1.45,4.75,7.0,1.48,2.6,1.62,2.2
Oj9jzBJ7,23/03/2024,10:00,ITALY - SERIE C,Trento,Mantova,GROUP A ,4.7,3.4,1.75,2.32,1.53,2.2,1.6
CIvRQ5j2,23/03/2024,10:00,ITALY - SERIE C,Virtus Francavilla,Monterosi,GROUP C ,1.95,3.3,3.8,2.32,1.55,2.1,1.65
Q1xFT76q,23/03/2024,10:00,ITALY - SERIE C,Sorrento,Juve Stabia,GROUP C ,4.55,3.2,1.82,2.42,1.5,2.2,1.6
MDu9gBoa,23/03/2024,10:00,ENGLAND - LEAGUE TWO,Harrogate,Bradford City,ROUND 40,4.0,3.5,1.95,1.98,1.88,1.8,1.91
AqkodhtR,23/03/2024,10:00,ITALY - SERIE C,AlbinoLeffe,Pro Sesto,GROUP A ,2.02,3.05,3.85,2.55,1.45,2.22,1.6
WhjscYQK,23/03/2024,10:00,ITALY - SERIE C,Fiorenzuola,Pro Patria,GROUP A ,2.75,3.1,2.57,2.32,1.53,2.0,1.72
2ysDiClr,23/03/2024,10:00,ITALY - SERIE C,Lumezzane,Virtus Verona,GROUP A ,2.22,2.92,3.45,2.55,1.45,2.12,1.65
v5tJSRLk,23/03/2024,10:00,ITALY - SERIE C,Picerno,Latina,GROUP C ,1.93,3.2,3.95,2.32,1.53,2.1,1.65
YRuNRoyd,23/03/2024,10:00,ITALY - SERIE C,Benevento,Monopoli,GROUP C ,1.4,4.15,7.8,2.15,1.65,2.5,1.47
KKanYmbS,23/03/2024,10:00,ITALY - SERIE C,ACR Messina,Foggia,GROUP C ,2.45,3.15,2.85,2.42,1.5,2.1,1.65
fBHZwgKr,23/03/2024,10:00,ITALY - SERIE C,Giana Erminio,Alessandria,GROUP A ,1.82,3.3,4.4,2.42,1.5,2.25,1.57
Y5W7xjE6,23/03/2024,10:30,UKRAINE - PREMIER LEAGUE,LNZ Cherkasy,Minaj,ROUND 17,1.65,3.4,5.4,2.37,1.45,2.32,1.47
vZsCtpmq,23/03/2024,11:00,SERBIA - PRVA LIGA,Vrsac,Dubocica,ROUND 26,1.95,3.05,3.7,2.35,1.47,2.14,1.67
QR1ymnAF,23/03/2024,11:00,SERBIA - PRVA LIGA,FK Indjija,Metalac,ROUND 26,1.88,3.1,3.95,2.51,1.48,2.16,1.66
I7LYFjQ7,23/03/2024,12:00,SCOTLAND - LEAGUE ONE,Falkirk,Edinburgh City,ROUND 30,1.03,12.0,34.0,1.17,4.5,2.75,1.4
vHMUGWA1,23/03/2024,12:00,SCOTLAND - LEAGUE ONE,Cove Rangers,Hamilton,ROUND 30,3.75,3.4,1.8,1.75,2.05,1.67,2.1
YJJMIhtk,23/03/2024,12:00,SCOTLAND - LEAGUE ONE,Alloa,Queen of South,ROUND 30,1.85,3.4,3.6,1.73,2.08,1.62,2.2
