,Date,League,Home,Away,Goals_H,Goals_A,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay
1,2023-12-07,UKRAINE - PREMIER LEAGUE,Dyn. Kyiv,Metalist 1925,4,2,1.25,1.27,13.5,17.0,6.2,7.2
2,2023-12-07,SLOVENIA - PRVA LIGA,Mura,Rogaska,3,1,1.76,1.85,4.7,5.5,3.95,4.2
3,2023-12-07,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Hazem,Al Fateh,2,0,3.65,3.85,2.02,2.08,4.0,4.3
4,2023-12-07,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Damac,Al Ittihad,3,1,3.8,4.1,1.96,2.02,4.0,4.3
5,2023-12-07,SLOVENIA - PRVA LIGA,O. Ljubljana,Bravo,1,1,1.51,1.55,7.4,8.8,4.4,4.9
6,2023-12-07,NETHERLANDS - EREDIVISIE,PSV,Heerenveen,2,0,1.18,1.19,18.5,19.5,9.6,9.8
7,2023-12-07,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Shabab,Al Ettifaq,0,0,2.3,2.38,3.3,3.55,3.45,3.6
8,2023-12-07,ENGLAND - PREMIER LEAGUE,Everton,Newcastle,3,0,3.35,3.4,2.36,2.38,3.5,3.55
9,2023-12-07,FRANCE - LIGUE 1,Brest,Strasbourg,1,1,1.85,1.86,5.2,5.3,3.7,3.75
10,2023-12-07,ENGLAND - PREMIER LEAGUE,Tottenham,West Ham,1,2,1.77,1.78,4.6,4.7,4.5,4.6
11,2023-12-08,MEXICO - LIGA MX,U.N.A.M.- Pumas,U.A.N.L.- Tigres,0,1,2.6,2.68,3.1,3.25,3.2,3.3
12,2023-12-08,AUSTRALIA - A-LEAGUE,Central Coast Mariners,Western United,4,0,1.89,1.94,3.9,4.2,4.4,4.5
